Text Inputs : Specimen label,"G2NC_1_DRY"
Test : Rate 1,"15.25134",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"2.73200",mm
Dimension : Width,"12.85000",mm

Time,Extension,Load
(sec),(mm),(N)
"8.10000","-2.05859","-50.19996"
"8.15000","-2.07172","-50.49285"
"8.20000","-2.08422","-50.80387"
"8.25000","-2.09688","-51.14709"
"8.30000","-2.11000","-51.47970"
"8.35000","-2.12219","-51.79986"
"8.40000","-2.13516","-52.11010"
"8.45000","-2.14781","-52.47530"
"8.50000","-2.16031","-52.76530"
"8.55000","-2.17344","-53.09079"
"8.60000","-2.18594","-53.41878"
"8.65000","-2.19859","-53.75504"
"8.70000","-2.21172","-54.04418"
"8.75000","-2.22406","-54.35452"
"8.80000","-2.23672","-54.66471"
"8.85000","-2.24969","-55.00748"
"8.90000","-2.26203","-55.32690"
"8.95000","-2.27484","-55.63746"
"9.00000","-2.28781","-55.96981"
"9.05000","-2.30000","-56.29824"
"9.10000","-2.31312","-56.57846"
"9.15000","-2.32563","-56.93086"
"9.20000","-2.33844","-57.24574"
"9.25000","-2.35156","-57.58088"
"9.30000","-2.36375","-57.88724"
"9.35000","-2.37656","-58.21642"
"9.40000","-2.38938","-58.51773"
"9.45000","-2.40188","-58.86930"
"9.50000","-2.41484","-59.14833"
"9.55000","-2.42734","-59.45329"
"9.60000","-2.44000","-59.77026"
"9.65000","-2.45281","-60.10080"
"9.70000","-2.46547","-60.39610"
"9.75000","-2.47813","-60.69621"
"9.80000","-2.49125","-61.00116"
"9.85000","-2.50359","-61.39336"
"9.90000","-2.51641","-61.69432"
"9.95000","-2.52938","-61.98468"
"10.00000","-2.54156","-62.28046"
"10.05000","-2.55469","-62.61561"
"10.10000","-2.56703","-62.92528"
"10.15000","-2.57984","-63.22436"
"10.20000","-2.59281","-63.55162"
"10.25000","-2.60516","-63.88674"
"10.30000","-2.61781","-64.14269"
"10.35000","-2.63094","-64.47688"
"10.40000","-2.64328","-64.79781"
"10.45000","-2.65609","-65.08133"
"10.50000","-2.66922","-65.43222"
"10.55000","-2.68141","-65.74726"
"10.60000","-2.69438","-66.03485"
"10.65000","-2.70719","-66.36217"
"10.70000","-2.71969","-66.66871"
"10.75000","-2.73266","-66.94881"
"10.80000","-2.74500","-67.28967"
"10.85000","-2.75781","-67.56761"
"10.90000","-2.77063","-67.89089"
"10.95000","-2.78313","-68.22010"
"11.00000","-2.79609","-68.49616"
"11.05000","-2.80891","-68.84519"
"11.10000","-2.82141","-69.13443"
"11.15000","-2.83438","-69.41664"
