Text Inputs : Specimen label,"G2NC_0.5"
Test : Rate 1,"15.77685",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"2.64100",mm
Dimension : Width,"13.37000",mm

Time,Extension,Load
(sec),(mm),(N)
"8.10000","-2.13016","-40.57475"
"8.15000","-2.14281","-40.84034"
"8.20000","-2.15625","-41.13327"
"8.25000","-2.16938","-41.41033"
"8.30000","-2.18203","-41.62929"
"8.35000","-2.19563","-41.90553"
"8.40000","-2.20859","-42.19111"
"8.45000","-2.22172","-42.39409"
"8.50000","-2.23516","-42.68152"
"8.55000","-2.24797","-42.97612"
"8.60000","-2.26125","-43.24413"
"8.65000","-2.27453","-43.49394"
"8.70000","-2.28750","-43.76306"
"8.75000","-2.30094","-43.98578"
"8.80000","-2.31391","-44.28175"
"8.85000","-2.32687","-44.50039"
"8.90000","-2.34047","-44.78884"
"8.95000","-2.35328","-45.00868"
"9.00000","-2.36656","-45.29775"
"9.05000","-2.37969","-45.52952"
"9.10000","-2.39266","-45.77294"
"9.15000","-2.40609","-46.02288"
"9.20000","-2.41891","-46.27799"
"9.25000","-2.43219","-46.50197"
"9.30000","-2.44547","-46.78682"
"9.35000","-2.45859","-47.04081"
"9.40000","-2.47188","-47.29209"
"9.45000","-2.48484","-47.55414"
"9.50000","-2.49781","-47.77009"
"9.55000","-2.51125","-48.06155"
"9.60000","-2.52422","-48.28876"
"9.65000","-2.53734","-48.54650"
"9.70000","-2.55063","-48.80193"
"9.75000","-2.56344","-49.05070"
"9.80000","-2.57688","-49.35804"
"9.85000","-2.59000","-49.58121"
"9.90000","-2.60313","-49.83349"
"9.95000","-2.61656","-50.09667"
"10.00000","-2.62938","-50.33359"
"10.05000","-2.64266","-50.60201"
"10.10000","-2.65578","-50.85585"
"10.15000","-2.66891","-51.12870"
"10.20000","-2.68219","-51.36013"
"10.25000","-2.69516","-51.61705"
"10.30000","-2.70813","-51.87296"
"10.35000","-2.72156","-52.14484"
"10.40000","-2.73437","-52.39256"
"10.45000","-2.74766","-52.64740"
"10.50000","-2.76109","-52.91136"
"10.55000","-2.77391","-53.13392"
"10.60000","-2.78734","-53.40031"
"10.65000","-2.80031","-53.61940"
"10.70000","-2.81344","-53.86263"
"10.75000","-2.82688","-54.13536"
"10.80000","-2.83969","-54.36782"
"10.85000","-2.85297","-54.61093"
"10.90000","-2.86609","-54.86294"
"10.95000","-2.87906","-55.10397"
"11.00000","-2.89250","-55.36348"
"11.05000","-2.90563","-55.59040"
"11.10000","-2.91875","-55.82363"
"11.15000","-2.93219","-56.07244"
"11.20000","-2.94500","-56.31172"
"11.25000","-2.95812","-56.54500"
"11.30000","-2.97125","-56.81445"
"11.35000","-2.98422","-57.05971"
"11.40000","-2.99781","-57.26052"
"11.45000","-3.01047","-57.49295"
"11.50000","-3.02375","-57.73743"
"11.55000","-3.03703","-57.98066"
"11.60000","-3.05000","-58.23505"
"11.65000","-3.06344","-58.49265"
"11.70000","-3.07656","-58.73512"
"11.75000","-3.08969","-58.94896"
"11.80000","-3.10313","-59.20743"
"11.85000","-3.11578","-59.44566"
"11.90000","-3.12891","-59.66976"
"11.95000","-3.14219","-59.88296"
"12.00000","-3.15516","-60.13915"
"12.05000","-3.16859","-60.43287"
"12.10000","-3.18156","-60.63637"
"12.15000","-3.19453","-60.89451"
"12.20000","-3.20813","-61.19066"
"12.25000","-3.22078","-61.41807"
"12.30000","-3.23438","-61.66244"
"12.35000","-3.24750","-61.88858"
"12.40000","-3.26047","-62.18085"
"12.45000","-3.27391","-62.40685"
"12.50000","-3.28672","-62.63322"
"12.55000","-3.30000","-62.90053"
"12.60000","-3.31328","-63.14928"
"12.65000","-3.32609","-63.40517"
"12.70000","-3.33938","-63.62930"
"12.75000","-3.35250","-63.86985"
"12.80000","-3.36547","-64.13812"
"12.85000","-3.37922","-64.38619"
"12.90000","-3.39187","-64.63148"
"12.95000","-3.40516","-64.87679"
"13.00000","-3.41844","-65.13950"
"13.05000","-3.43125","-65.39484"
"13.10000","-3.44469","-65.61031"
"13.15000","-3.45766","-65.85140"
"13.20000","-3.47078","-66.10062"
"13.25000","-3.48406","-66.37244"
"13.30000","-3.49688","-66.61683"
"13.35000","-3.51016","-66.83981"
"13.40000","-3.52359","-67.10032"
"13.45000","-3.53656","-67.34476"
"13.50000","-3.54984","-67.59694"
"13.55000","-3.56297","-67.82632"
"13.60000","-3.57594","-68.08358"
"13.65000","-3.58937","-68.30196"
"13.70000","-3.60219","-68.54581"
"13.75000","-3.61562","-68.79200"
"13.80000","-3.62875","-69.06675"
"13.85000","-3.64156","-69.25828"
"13.90000","-3.65500","-69.49698"
"13.95000","-3.66781","-69.78929"
"14.00000","-3.68125","-70.02291"
"14.05000","-3.69469","-70.25558"
"14.10000","-3.70750","-70.52628"
"14.15000","-3.72078","-70.77006"
"14.20000","-3.73391","-71.01082"
"14.25000","-3.74688","-71.25960"
"14.30000","-3.76016","-71.49639"
"14.35000","-3.77328","-71.76421"
"14.40000","-3.78641","-72.00825"
"14.45000","-3.79984","-72.24126"
"14.50000","-3.81234","-72.47013"
"14.55000","-3.82578","-72.73365"
"14.60000","-3.83906","-72.99451"
"14.65000","-3.85219","-73.19289"
"14.70000","-3.86563","-73.46822"
"14.75000","-3.87844","-73.75180"
"14.80000","-3.89172","-73.97585"
"14.85000","-3.90484","-74.19607"
"14.90000","-3.91781","-74.45322"
"14.95000","-3.93109","-74.73537"
"15.00000","-3.94422","-74.95252"
"15.05000","-3.95719","-75.17592"
"15.10000","-3.97047","-75.43330"
"15.15000","-3.98344","-75.67854"
"15.20000","-3.99672","-75.92358"
"15.25000","-4.01016","-76.16899"
"15.30000","-4.02297","-76.39757"
"15.35000","-4.03641","-76.64538"
"15.40000","-4.04922","-76.92970"
"15.45000","-4.06234","-77.13045"
"15.50000","-4.07578","-77.37096"
"15.55000","-4.08859","-77.64296"
"15.60000","-4.10188","-77.90648"
"15.65000","-4.11516","-78.13262"
"15.70000","-4.12797","-78.39134"
"15.75000","-4.14141","-78.63238"
"15.80000","-4.15453","-78.91544"
"15.85000","-4.16766","-79.11918"
"15.90000","-4.18109","-79.41647"
"15.95000","-4.19391","-79.63127"
"16.00000","-4.20703","-79.88431"
"16.05000","-4.22031","-80.12165"
"16.10000","-4.23328","-80.36364"
"16.15000","-4.24672","-80.60913"
"16.20000","-4.25953","-80.86223"
"16.25000","-4.27281","-81.08112"
"16.30000","-4.28594","-81.34428"
"16.35000","-4.29891","-81.56048"
"16.40000","-4.31234","-81.83496"
"16.45000","-4.32547","-82.10332"
"16.50000","-4.33875","-82.34994"
"16.55000","-4.35188","-82.59034"
"16.60000","-4.36484","-82.85117"
"16.65000","-4.37797","-83.09202"
"16.70000","-4.39125","-83.32272"
"16.75000","-4.40422","-83.55409"
"16.80000","-4.41750","-83.79165"
"16.85000","-4.43078","-84.04630"
"16.90000","-4.44359","-84.27043"
"16.95000","-4.45719","-84.50078"
"17.00000","-4.47000","-84.77774"
"17.05000","-4.48344","-84.99008"
"17.10000","-4.49656","-85.25144"
"17.15000","-4.50953","-85.43547"
"17.20000","-4.52266","-85.68530"
"17.25000","-4.53578","-85.89611"
"17.30000","-4.54891","-86.15474"
"17.35000","-4.56219","-86.35976"
"17.40000","-4.57516","-86.61338"
"17.45000","-4.58828","-86.81881"
"17.50000","-4.60156","-87.02031"
"17.55000","-4.61453","-87.23537"
"17.60000","-4.62797","-87.47665"
"17.65000","-4.64094","-87.70179"
"17.70000","-4.65406","-87.95904"
"17.75000","-4.66750","-88.16165"
"17.80000","-4.68016","-88.37839"
"17.85000","-4.69359","-88.58426"
"17.90000","-4.70672","-88.84312"
"17.95000","-4.71984","-89.04457"
"18.00000","-4.73297","-89.26960"
"18.05000","-4.74594","-89.51768"
"18.10000","-4.75922","-89.72352"
"18.15000","-4.77250","-89.91770"
"18.20000","-4.78563","-90.18139"
"18.25000","-4.79875","-90.41235"
"18.30000","-4.81203","-90.64453"
"18.35000","-4.82484","-90.84783"
"18.40000","-4.83844","-91.09798"
"18.45000","-4.85125","-91.35419"
"18.50000","-4.86453","-91.58667"
"18.55000","-4.87781","-91.80824"
"18.60000","-4.89062","-92.01196"
"18.65000","-4.90391","-92.24466"
"18.70000","-4.91688","-92.48341"
"18.75000","-4.93016","-92.68532"
"18.80000","-4.94359","-92.90633"
"18.85000","-4.95656","-93.13645"
"18.90000","-4.96984","-93.34772"
"18.95000","-4.98297","-93.57456"
"19.00000","-4.99594","-93.80641"
"19.05000","-5.00922","-93.98099"
"19.10000","-5.02234","-94.18370"
"19.15000","-5.03531","-94.42450"
"19.20000","-5.04875","-94.63950"
"19.25000","-5.06156","-94.87690"
"19.30000","-5.07484","-95.06704"
"19.35000","-5.08797","-95.30523"
"19.40000","-5.10109","-95.50683"
"19.45000","-5.11453","-95.74728"
"19.50000","-5.12750","-95.94859"
"19.55000","-5.14062","-96.19570"
"19.60000","-5.15375","-96.40475"
"19.65000","-5.16688","-96.61767"
"19.70000","-5.18016","-96.83711"
"19.75000","-5.19328","-97.03585"
"19.80000","-5.20625","-97.24261"
"19.85000","-5.21938","-97.41491"
"19.90000","-5.23250","-97.62872"
"19.95000","-5.24563","-97.81965"
"20.00000","-5.25922","-98.00239"
"20.05000","-5.27203","-98.21597"
"20.10000","-5.28531","-98.42604"
"20.15000","-5.29828","-98.62555"
"20.20000","-5.31141","-98.80858"
"20.25000","-5.32484","-99.00191"
"20.30000","-5.33766","-99.20754"
"20.35000","-5.35094","-99.38754"
"20.40000","-5.36406","-99.60600"
"20.45000","-5.37703","-99.80835"
"20.50000","-5.39031","-100.01326"
"20.55000","-5.40344","-100.26098"
"20.60000","-5.41656","-100.46563"
"20.65000","-5.43016","-100.68239"
"20.70000","-5.44297","-100.90442"
"20.75000","-5.45609","-101.10238"
"20.80000","-5.46938","-101.32032"
"20.85000","-5.48219","-101.55505"
"20.90000","-5.49563","-101.76237"
"20.95000","-5.50859","-101.94157"
"21.00000","-5.52172","-102.14052"
"21.05000","-5.53500","-102.32043"
"21.10000","-5.54797","-102.52508"
"21.15000","-5.56141","-102.73480"
"21.20000","-5.57453","-102.91252"
"21.25000","-5.58766","-103.11594"
