Text Inputs : Specimen label,"G1NC_1_DRY"
Test : Rate 1,"15.04212",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"2.77000",mm
Dimension : Width,"12.51000",mm

Time,Extension,Load
(sec),(mm),(N)
"0.00000","0.00000","0.07322"
"0.05000","-0.00594","-0.02472"
"0.10000","-0.02063","-0.29780"
"0.15000","-0.03563","-0.69920"
"0.20000","-0.04906","-1.01587"
"0.25000","-0.06250","-1.28251"
"0.30000","-0.07484","-1.60188"
"0.35000","-0.08766","-1.87633"
"0.40000","-0.10031","-2.12856"
"0.45000","-0.11266","-2.42268"
"0.50000","-0.12531","-2.70168"
"0.55000","-0.13813","-2.99030"
"0.60000","-0.15062","-3.24026"
"0.65000","-0.16328","-3.54627"
"0.70000","-0.17578","-3.83432"
"0.75000","-0.18813","-4.06427"
"0.80000","-0.20078","-4.36173"
"0.85000","-0.21328","-4.65065"
"0.90000","-0.22563","-4.93306"
"0.95000","-0.23844","-5.22768"
"1.00000","-0.25063","-5.52456"
"1.05000","-0.26328","-5.84225"
"1.10000","-0.27609","-6.10563"
"1.15000","-0.28844","-6.35633"
"1.20000","-0.30109","-6.64932"
"1.25000","-0.31359","-6.91075"
"1.30000","-0.32609","-7.18093"
"1.35000","-0.33875","-7.43284"
"1.40000","-0.35109","-7.74000"
"1.45000","-0.36375","-8.02840"
"1.50000","-0.37625","-8.29288"
"1.55000","-0.38859","-8.60185"
"1.60000","-0.40109","-8.84861"
"1.65000","-0.41375","-9.12364"
"1.70000","-0.42609","-9.39488"
"1.75000","-0.43875","-9.64365"
"1.80000","-0.45156","-9.97482"
"1.85000","-0.46391","-10.21910"
"1.90000","-0.47656","-10.49505"
"1.95000","-0.48891","-10.78636"
"2.00000","-0.50141","-11.05940"
"2.05000","-0.51422","-11.37902"
"2.10000","-0.52656","-11.64525"
"2.15000","-0.53906","-11.89877"
"2.20000","-0.55172","-12.19382"
"2.25000","-0.56406","-12.44826"
"2.30000","-0.57656","-12.73312"
"2.35000","-0.58922","-13.03746"
"2.40000","-0.60172","-13.33477"
"2.45000","-0.61437","-13.59519"
"2.50000","-0.62703","-13.89493"
"2.55000","-0.63922","-14.19413"
"2.60000","-0.65187","-14.45127"
"2.65000","-0.66438","-14.73514"
"2.70000","-0.67703","-15.04348"
"2.75000","-0.68969","-15.32319"
"2.80000","-0.70188","-15.60187"
"2.85000","-0.71453","-15.91402"
"2.90000","-0.72719","-16.20614"
"2.95000","-0.73953","-16.47250"
"3.00000","-0.75234","-16.75934"
"3.05000","-0.76484","-17.04977"
"3.10000","-0.77734","-17.32982"
"3.15000","-0.79000","-17.61513"
"3.20000","-0.80234","-17.94718"
"3.25000","-0.81484","-18.20277"
"3.30000","-0.82766","-18.47695"
"3.35000","-0.84000","-18.79324"
"3.40000","-0.85250","-19.04196"
"3.45000","-0.86531","-19.33702"
"3.50000","-0.87750","-19.63775"
"3.55000","-0.89016","-19.91954"
"3.60000","-0.90266","-20.16517"
"3.65000","-0.91516","-20.47241"
"3.70000","-0.92797","-20.72640"
"3.75000","-0.94016","-21.05850"
"3.80000","-0.95266","-21.31816"
"3.85000","-0.96547","-21.62343"
"3.90000","-0.97781","-21.88440"
"3.95000","-0.99047","-22.18554"
"4.00000","-1.00312","-22.49425"
"4.05000","-1.01531","-22.77588"
"4.10000","-1.02781","-23.03197"
"4.15000","-1.04047","-23.31381"
"4.20000","-1.05281","-23.59733"
"4.25000","-1.06562","-23.89470"
"4.30000","-1.07828","-24.18173"
"4.35000","-1.09063","-24.42965"
"4.40000","-1.10344","-24.74442"
"4.45000","-1.11563","-25.04910"
"4.50000","-1.12813","-25.32702"
"4.55000","-1.14094","-25.64626"
"4.60000","-1.15328","-25.89760"
"4.65000","-1.16594","-26.18524"
"4.70000","-1.17844","-26.49950"
"4.75000","-1.19078","-26.74612"
"4.80000","-1.20344","-27.06177"
"4.85000","-1.21609","-27.33570"
"4.90000","-1.22844","-27.64221"
"4.95000","-1.24125","-27.93612"
"5.00000","-1.25359","-28.22129"
"5.05000","-1.26594","-28.52027"
"5.10000","-1.27875","-28.80199"
"5.15000","-1.29109","-29.09740"
"5.20000","-1.30375","-29.37766"
"5.25000","-1.31656","-29.66160"
"5.30000","-1.32859","-29.98166"
"5.35000","-1.34141","-30.22345"
"5.40000","-1.35391","-30.51398"
"5.45000","-1.36625","-30.82419"
"5.50000","-1.37906","-31.07992"
"5.55000","-1.39156","-31.41420"
"5.60000","-1.40406","-31.67668"
"5.65000","-1.41672","-31.98901"
"5.70000","-1.42922","-32.27218"
"5.75000","-1.44156","-32.55734"
"5.80000","-1.45437","-32.87385"
"5.85000","-1.46672","-33.16113"
"5.90000","-1.47922","-33.42987"
"5.95000","-1.49188","-33.74083"
"6.00000","-1.50406","-34.02959"
"6.05000","-1.51687","-34.29121"
"6.10000","-1.52937","-34.60051"
"6.15000","-1.54188","-34.90501"
"6.20000","-1.55469","-35.17095"
"6.25000","-1.56688","-35.50442"
"6.30000","-1.57953","-35.77921"
"6.35000","-1.59219","-36.06359"
"6.40000","-1.60437","-36.35749"
"6.45000","-1.61719","-36.63169"
"6.50000","-1.62969","-36.95200"
"6.55000","-1.64203","-37.24306"
"6.60000","-1.65453","-37.49297"
"6.65000","-1.66734","-37.79026"
"6.70000","-1.67953","-38.10575"
"6.75000","-1.69250","-38.41524"
"6.80000","-1.70484","-38.70076"
"6.85000","-1.71734","-39.00388"
"6.90000","-1.73016","-39.31825"
"6.95000","-1.74234","-39.58189"
"7.00000","-1.75500","-39.86905"
"7.05000","-1.76766","-40.17046"
"7.10000","-1.78000","-40.47836"
"7.15000","-1.79266","-40.78240"
"7.20000","-1.80516","-41.02227"
"7.25000","-1.81766","-41.32119"
"7.30000","-1.83016","-41.59950"
"7.35000","-1.84281","-41.91900"
"7.40000","-1.85531","-42.21629"
"7.45000","-1.86813","-42.50886"
"7.50000","-1.88031","-42.82751"
"7.55000","-1.89266","-43.11167"
"7.60000","-1.90562","-43.40871"
"7.65000","-1.91781","-43.68698"
"7.70000","-1.93047","-43.94540"
"7.75000","-1.94328","-44.27093"
"7.80000","-1.95531","-44.54534"
"7.85000","-1.96813","-44.85247"
"7.90000","-1.98047","-45.12977"
"7.95000","-1.99313","-45.43742"
"8.00000","-2.00594","-45.71831"
"8.05000","-2.01828","-46.01443"
"8.10000","-2.03078","-46.28628"
"8.15000","-2.04359","-46.60488"
"8.20000","-2.05578","-46.91242"
"8.25000","-2.06844","-47.18331"
"8.30000","-2.08109","-47.45769"
"8.35000","-2.09328","-47.77221"
"8.40000","-2.10609","-48.08176"
"8.45000","-2.11875","-48.33738"
"8.50000","-2.13078","-48.59933"
"8.55000","-2.14375","-48.91303"
"8.60000","-2.15609","-49.19368"
"8.65000","-2.16875","-49.49221"
"8.70000","-2.18156","-49.74910"
"8.75000","-2.19375","-50.06989"
"8.80000","-2.20625","-50.35153"
"8.85000","-2.21891","-50.61435"
"8.90000","-2.23109","-50.91072"
"8.95000","-2.24391","-51.23739"
"9.00000","-2.25656","-51.52682"
"9.05000","-2.26891","-51.80395"
"9.10000","-2.28156","-52.06965"
"9.15000","-2.29406","-52.36626"
"9.20000","-2.30641","-52.62901"
"9.25000","-2.31938","-52.89367"
"9.30000","-2.33156","-53.19677"
"9.35000","-2.34422","-53.50660"
"9.40000","-2.35703","-53.76319"
"9.45000","-2.36891","-54.05303"
"9.50000","-2.38172","-54.33689"
"9.55000","-2.39438","-54.66069"
"9.60000","-2.40656","-54.86173"
"9.65000","-2.41938","-55.17896"
"9.70000","-2.43188","-55.47469"
"9.75000","-2.44422","-55.75668"
"9.80000","-2.45703","-56.00742"
"9.85000","-2.46953","-56.33996"
"9.90000","-2.48188","-56.60674"
"9.95000","-2.49484","-56.87529"
"10.00000","-2.50719","-57.20121"
"10.05000","-2.51953","-57.49255"
"10.10000","-2.53250","-57.75027"
"10.15000","-2.54469","-58.04352"
"10.20000","-2.55734","-58.28489"
"10.25000","-2.57000","-58.59513"
"10.30000","-2.58203","-58.84518"
"10.35000","-2.59500","-59.10447"
"10.40000","-2.60719","-59.42472"
"10.45000","-2.61984","-59.63153"
"10.50000","-2.63266","-59.95155"
"10.55000","-2.64500","-60.26005"
"10.60000","-2.65766","-60.51139"
"10.65000","-2.67031","-60.75112"
"10.70000","-2.68234","-61.04991"
"10.75000","-2.69516","-61.32753"
"10.80000","-2.70781","-61.60188"
"10.85000","-2.72000","-61.85857"
"10.90000","-2.73281","-62.15449"
"10.95000","-2.74531","-62.41340"
"11.00000","-2.75750","-62.69686"
"11.05000","-2.77047","-62.98882"
"11.10000","-2.78281","-63.23132"
"11.15000","-2.79547","-63.49624"
"11.20000","-2.80828","-63.78112"
"11.25000","-2.82047","-64.06282"
"11.30000","-2.83312","-64.33633"
"11.35000","-2.84563","-64.60186"
"11.40000","-2.85813","-64.85471"
"11.45000","-2.87078","-65.15314"
"11.50000","-2.88313","-65.43008"
"11.55000","-2.89547","-65.65654"
"11.60000","-2.90828","-65.89768"
"11.65000","-2.92063","-66.18960"
"11.70000","-2.93313","-66.42270"
"11.75000","-2.94625","-66.72060"
"11.80000","-2.95844","-67.00466"
"11.85000","-2.97094","-67.28011"
"11.90000","-2.98375","-67.52636"
"11.95000","-2.99578","-67.80853"
"12.00000","-3.00859","-68.04041"
"12.05000","-3.02125","-68.35284"
"12.10000","-3.03359","-68.60877"
"12.15000","-3.04625","-68.88952"
"12.20000","-3.05859","-69.11484"
"12.25000","-3.07109","-69.37309"
"12.30000","-3.08391","-69.64942"
"12.35000","-3.09641","-69.91707"
"12.40000","-3.10891","-70.17769"
"12.45000","-3.12172","-70.46774"
"12.50000","-3.13391","-70.70566"
"12.55000","-3.14641","-70.98597"
"12.60000","-3.15906","-71.22362"
"12.65000","-3.17125","-71.48583"
"12.70000","-3.18422","-71.70637"
"12.75000","-3.19656","-72.00254"
"12.80000","-3.20891","-72.27067"
"12.85000","-3.22172","-72.53796"
"12.90000","-3.23391","-72.79848"
"12.95000","-3.24672","-73.06127"
"13.00000","-3.25953","-73.35545"
"13.05000","-3.27172","-73.61509"
"13.10000","-3.28453","-73.84056"
"13.15000","-3.29703","-74.10978"
"13.20000","-3.30906","-74.37408"
"13.25000","-3.32188","-74.60295"
"13.30000","-3.33453","-74.91495"
"13.35000","-3.34672","-75.13615"
"13.40000","-3.35969","-75.41908"
"13.45000","-3.37203","-75.70877"
"13.50000","-3.38438","-75.92588"
"13.55000","-3.39734","-76.23664"
"13.60000","-3.40953","-76.51378"
"13.65000","-3.42219","-76.76320"
"13.70000","-3.43500","-77.01929"
"13.75000","-3.44719","-77.29373"
"13.80000","-3.46000","-77.55655"
"13.85000","-3.47234","-77.84421"
"13.90000","-3.48484","-78.08846"
"13.95000","-3.49750","-78.35360"
"14.00000","-3.50984","-78.63937"
"14.05000","-3.52219","-78.91568"
"14.10000","-3.53500","-79.13651"
"14.15000","-3.54734","-79.40756"
"14.20000","-3.55984","-79.65395"
"14.25000","-3.57297","-79.92952"
"14.30000","-3.58516","-80.19374"
"14.35000","-3.59781","-80.49170"
"14.40000","-3.61031","-80.72763"
"14.45000","-3.62234","-81.00897"
"14.50000","-3.63547","-81.26152"
"14.55000","-3.64781","-81.54071"
"14.60000","-3.66031","-81.78287"
"14.65000","-3.67281","-82.06425"
"14.70000","-3.68516","-82.29542"
"14.75000","-3.69781","-82.59014"
"14.80000","-3.71062","-82.87758"
"14.85000","-3.72297","-83.13430"
"14.90000","-3.73562","-83.40085"
"14.95000","-3.74859","-83.64157"
"15.00000","-3.76062","-83.91004"
"15.05000","-3.77328","-84.22526"
"15.10000","-3.78578","-84.45145"
"15.15000","-3.79813","-84.73094"
"15.20000","-3.81109","-84.98848"
