Text Inputs : Specimen label,"G1CF_DRY"
Test : Rate 1,"0.70000",mm/min
Dimension : Support span,"25.60000",mm
Dimension : Thickness,"1.42100",mm
Dimension : Width,"12.30000",mm

Time,Extension,Load
(sec),(mm),(N)
"0.00000","0.00000","0.06604"
"0.05000","-0.00031","-0.01149"
"0.10000","-0.00078","-0.00246"
"0.15000","-0.00141","-0.11754"
"0.20000","-0.00203","-0.25224"
"0.25000","-0.00281","-0.32160"
"0.30000","-0.00344","-0.38541"
"0.35000","-0.00406","-0.51583"
"0.40000","-0.00453","-0.58615"
"0.45000","-0.00516","-0.63341"
"0.50000","-0.00578","-0.73675"
"0.55000","-0.00641","-0.86424"
"0.60000","-0.00688","-0.91825"
"0.65000","-0.00750","-0.98046"
"0.70000","-0.00813","-1.03059"
"0.75000","-0.00859","-1.12546"
"0.80000","-0.00922","-1.20900"
"0.85000","-0.00984","-1.26727"
"0.90000","-0.01047","-1.32827"
"0.95000","-0.01094","-1.39814"
"1.00000","-0.01156","-1.52063"
"1.05000","-0.01219","-1.59905"
"1.10000","-0.01266","-1.56917"
"1.15000","-0.01328","-1.70165"
"1.20000","-0.01391","-1.75827"
"1.25000","-0.01438","-1.82875"
"1.30000","-0.01500","-1.90252"
"1.35000","-0.01563","-1.99701"
"1.40000","-0.01625","-2.10664"
"1.45000","-0.01688","-2.13086"
"1.50000","-0.01734","-2.22500"
"1.55000","-0.01797","-2.34980"
"1.60000","-0.01859","-2.36927"
"1.65000","-0.01906","-2.43836"
"1.70000","-0.01969","-2.50509"
"1.75000","-0.02016","-2.57182"
"1.80000","-0.02078","-2.62956"
"1.85000","-0.02141","-2.70796"
"1.90000","-0.02203","-2.80542"
"1.95000","-0.02266","-2.89738"
"2.00000","-0.02328","-2.97291"
"2.05000","-0.02391","-3.07084"
"2.10000","-0.02453","-3.12153"
"2.15000","-0.02500","-3.19199"
"2.20000","-0.02563","-3.29389"
"2.25000","-0.02625","-3.34585"
"2.30000","-0.02672","-3.42242"
"2.35000","-0.02734","-3.49005"
"2.40000","-0.02781","-3.59137"
"2.45000","-0.02844","-3.65495"
"2.50000","-0.02906","-3.72931"
"2.55000","-0.02969","-3.83693"
"2.60000","-0.03031","-3.85259"
"2.65000","-0.03094","-3.96589"
"2.70000","-0.03156","-4.02286"
"2.75000","-0.03219","-4.06613"
"2.80000","-0.03266","-4.16448"
"2.85000","-0.03328","-4.22733"
"2.90000","-0.03391","-4.33096"
"2.95000","-0.03453","-4.36688"
"3.00000","-0.03516","-4.49537"
"3.05000","-0.03563","-4.56848"
"3.10000","-0.03625","-4.55995"
"3.15000","-0.03688","-4.68326"
"3.20000","-0.03734","-4.78101"
"3.25000","-0.03797","-4.85923"
"3.30000","-0.03859","-4.88699"
"3.35000","-0.03922","-4.99845"
"3.40000","-0.03969","-5.04157"
"3.45000","-0.04031","-5.13054"
"3.50000","-0.04094","-5.25241"
"3.55000","-0.04156","-5.33123"
"3.60000","-0.04203","-5.36894"
"3.65000","-0.04266","-5.44333"
"3.70000","-0.04328","-5.50407"
"3.75000","-0.04375","-5.55852"
"3.80000","-0.04437","-5.63335"
"3.85000","-0.04500","-5.70236"
"3.90000","-0.04563","-5.81644"
"3.95000","-0.04625","-5.85225"
"4.00000","-0.04672","-5.98452"
"4.05000","-0.04734","-6.11189"
"4.10000","-0.04797","-6.13958"
"4.15000","-0.04859","-6.18504"
"4.20000","-0.04906","-6.24744"
"4.25000","-0.04969","-6.30945"
"4.30000","-0.05016","-6.37565"
"4.35000","-0.05078","-6.41101"
"4.40000","-0.05125","-6.52398"
"4.45000","-0.05188","-6.57860"
"4.50000","-0.05250","-6.69256"
"4.55000","-0.05297","-6.79848"
"4.60000","-0.05359","-6.81585"
"4.65000","-0.05422","-6.86198"
"4.70000","-0.05469","-6.95811"
"4.75000","-0.05531","-6.98756"
"4.80000","-0.05578","-7.07743"
"4.85000","-0.05641","-7.13567"
"4.90000","-0.05703","-7.24332"
"4.95000","-0.05766","-7.34506"
"5.00000","-0.05812","-7.39686"
"5.05000","-0.05875","-7.46776"
"5.10000","-0.05938","-7.48132"
"5.15000","-0.06000","-7.64944"
"5.20000","-0.06062","-7.69623"
"5.25000","-0.06125","-7.75982"
"5.30000","-0.06188","-7.81733"
"5.35000","-0.06234","-7.93775"
"5.40000","-0.06297","-7.96136"
"5.45000","-0.06359","-8.03202"
"5.50000","-0.06406","-8.15386"
"5.55000","-0.06469","-8.25133"
"5.60000","-0.06531","-8.28624"
"5.65000","-0.06594","-8.33720"
"5.70000","-0.06641","-8.43318"
"5.75000","-0.06703","-8.48098"
"5.80000","-0.06766","-8.57340"
"5.85000","-0.06828","-8.67271"
"5.90000","-0.06875","-8.75514"
"5.95000","-0.06938","-8.83776"
"6.00000","-0.07000","-8.94040"
"6.05000","-0.07062","-9.06270"
"6.10000","-0.07125","-9.09526"
"6.15000","-0.07172","-9.23761"
"6.20000","-0.07234","-9.33340"
"6.25000","-0.07297","-9.38731"
"6.30000","-0.07344","-9.52822"
"6.35000","-0.07406","-9.58180"
"6.40000","-0.07469","-9.69842"
"6.45000","-0.07531","-9.81030"
"6.50000","-0.07594","-9.90595"
"6.55000","-0.07641","-10.04099"
"6.60000","-0.07703","-10.12380"
"6.65000","-0.07766","-10.21892"
"6.70000","-0.07828","-10.28630"
"6.75000","-0.07891","-10.38851"
"6.80000","-0.07938","-10.53235"
"6.85000","-0.08000","-10.58221"
"6.90000","-0.08047","-10.62975"
"6.95000","-0.08109","-10.70434"
"7.00000","-0.08156","-10.84672"
"7.05000","-0.08219","-10.98992"
"7.10000","-0.08281","-10.98727"
"7.15000","-0.08344","-11.13974"
"7.20000","-0.08406","-11.25357"
"7.25000","-0.08469","-11.33998"
"7.30000","-0.08516","-11.43103"
"7.35000","-0.08578","-11.49923"
"7.40000","-0.08641","-11.60400"
"7.45000","-0.08687","-11.70648"
"7.50000","-0.08750","-11.80898"
"7.55000","-0.08797","-11.91338"
"7.60000","-0.08859","-11.99909"
"7.65000","-0.08906","-12.08338"
"7.70000","-0.08969","-12.17259"
"7.75000","-0.09031","-12.29503"
"7.80000","-0.09094","-12.36894"
"7.85000","-0.09141","-12.46417"
"7.90000","-0.09203","-12.57995"
"7.95000","-0.09266","-12.70580"
"8.00000","-0.09328","-12.79919"
"8.05000","-0.09375","-12.90799"
"8.10000","-0.09437","-12.97559"
"8.15000","-0.09500","-13.08999"
"8.20000","-0.09547","-13.18550"
"8.25000","-0.09609","-13.27290"
"8.30000","-0.09672","-13.38138"
"8.35000","-0.09734","-13.46421"
"8.40000","-0.09797","-13.55443"
"8.45000","-0.09844","-13.66836"
"8.50000","-0.09906","-13.79805"
"8.55000","-0.09969","-13.92202"
"8.60000","-0.10031","-14.02240"
"8.65000","-0.10078","-14.07479"
"8.70000","-0.10141","-14.19231"
"8.75000","-0.10203","-14.30420"
"8.80000","-0.10250","-14.40670"
"8.85000","-0.10312","-14.47888"
"8.90000","-0.10375","-14.59638"
"8.95000","-0.10438","-14.67176"
"9.00000","-0.10500","-14.79104"
"9.05000","-0.10563","-14.91564"
"9.10000","-0.10609","-14.99646"
"9.15000","-0.10672","-15.09550"
"9.20000","-0.10734","-15.23805"
"9.25000","-0.10797","-15.30396"
"9.30000","-0.10859","-15.40404"
"9.35000","-0.10906","-15.49782"
"9.40000","-0.10969","-15.57507"
"9.45000","-0.11016","-15.68278"
"9.50000","-0.11078","-15.81064"
"9.55000","-0.11141","-15.93374"
"9.60000","-0.11203","-15.99066"
"9.65000","-0.11250","-16.10165"
"9.70000","-0.11313","-16.21478"
"9.75000","-0.11375","-16.27574"
"9.80000","-0.11437","-16.43324"
"9.85000","-0.11500","-16.52456"
"9.90000","-0.11563","-16.60281"
"9.95000","-0.11609","-16.70375"
"10.00000","-0.11672","-16.79865"
"10.05000","-0.11734","-16.91895"
"10.10000","-0.11781","-16.99751"
"10.15000","-0.11844","-17.08171"
"10.20000","-0.11906","-17.22353"
"10.25000","-0.11969","-17.29620"
"10.30000","-0.12031","-17.42861"
"10.35000","-0.12078","-17.47640"
"10.40000","-0.12141","-17.62281"
"10.45000","-0.12203","-17.68768"
"10.50000","-0.12250","-17.79679"
"10.55000","-0.12313","-17.91600"
"10.60000","-0.12359","-17.99235"
"10.65000","-0.12422","-18.05665"
"10.70000","-0.12484","-18.18644"
"10.75000","-0.12531","-18.24169"
"10.80000","-0.12594","-18.35045"
"10.85000","-0.12656","-18.46098"
"10.90000","-0.12703","-18.56989"
"10.95000","-0.12766","-18.63661"
"11.00000","-0.12828","-18.78756"
"11.05000","-0.12875","-18.93658"
"11.10000","-0.12938","-18.97282"
"11.15000","-0.13000","-19.05286"
"11.20000","-0.13063","-19.16866"
"11.25000","-0.13109","-19.29932"
"11.30000","-0.13172","-19.39804"
"11.35000","-0.13234","-19.45305"
"11.40000","-0.13281","-19.58708"
"11.45000","-0.13344","-19.65281"
"11.50000","-0.13406","-19.77425"
"11.55000","-0.13469","-19.91021"
"11.60000","-0.13531","-19.99637"
"11.65000","-0.13594","-20.12990"
"11.70000","-0.13656","-20.24794"
"11.75000","-0.13719","-20.35415"
"11.80000","-0.13766","-20.42586"
"11.85000","-0.13828","-20.51545"
"11.90000","-0.13891","-20.62122"
"11.95000","-0.13937","-20.74388"
"12.00000","-0.14000","-20.83696"
"12.05000","-0.14047","-20.96237"
"12.10000","-0.14109","-20.97747"
"12.15000","-0.14172","-21.11635"
"12.20000","-0.14234","-21.23877"
"12.25000","-0.14297","-21.34687"
"12.30000","-0.14359","-21.46191"
"12.35000","-0.14406","-21.55067"
"12.40000","-0.14469","-21.64797"
"12.45000","-0.14531","-21.74943"
"12.50000","-0.14578","-21.87411"
"12.55000","-0.14641","-21.99276"
"12.60000","-0.14703","-22.10047"
"12.65000","-0.14766","-22.17251"
"12.70000","-0.14813","-22.24999"
"12.75000","-0.14875","-22.36918"
"12.80000","-0.14938","-22.50194"
"12.85000","-0.15000","-22.60777"
"12.90000","-0.15062","-22.67496"
"12.95000","-0.15125","-22.76473"
"13.00000","-0.15172","-22.90705"
"13.05000","-0.15234","-23.03563"
"13.10000","-0.15297","-23.09244"
"13.15000","-0.15344","-23.16801"
