Text Inputs : Specimen label,"G2NE_DRY"
Test : Rate 1,"1.30000",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"3.48000",mm
Dimension : Width,"13.81000",mm

Time,Extension,Load
(sec),(mm),(N)
"8.10000","-0.17531","-6.44651"
"8.15000","-0.17656","-6.53944"
"8.20000","-0.17766","-6.58397"
"8.25000","-0.17875","-6.61233"
"8.30000","-0.17984","-6.63963"
"8.35000","-0.18094","-6.70108"
"8.40000","-0.18203","-6.75469"
"8.45000","-0.18312","-6.79497"
"8.50000","-0.18422","-6.81550"
"8.55000","-0.18531","-6.93875"
"8.60000","-0.18641","-6.91712"
"8.65000","-0.18750","-6.96079"
"8.70000","-0.18859","-7.02699"
"8.75000","-0.18969","-7.10714"
"8.80000","-0.19078","-7.10758"
"8.85000","-0.19188","-7.12625"
"8.90000","-0.19297","-7.21343"
"8.95000","-0.19406","-7.30030"
"9.00000","-0.19516","-7.32491"
"9.05000","-0.19625","-7.33439"
"9.10000","-0.19719","-7.35050"
"9.15000","-0.19828","-7.45605"
"9.20000","-0.19938","-7.48163"
"9.25000","-0.20047","-7.48743"
"9.30000","-0.20156","-7.57406"
"9.35000","-0.20266","-7.63168"
"9.40000","-0.20359","-7.67725"
"9.45000","-0.20469","-7.69657"
"9.50000","-0.20578","-7.72159"
"9.55000","-0.20688","-7.83220"
"9.60000","-0.20797","-7.84435"
"9.65000","-0.20906","-7.86666"
"9.70000","-0.21016","-7.92086"
"9.75000","-0.21125","-7.99542"
"9.80000","-0.21234","-8.01982"
"9.85000","-0.21328","-8.02487"
"9.90000","-0.21438","-8.08476"
"9.95000","-0.21547","-8.14988"
"10.00000","-0.21672","-8.22254"
"10.05000","-0.21766","-8.26863"
"10.10000","-0.21875","-8.27967"
"10.15000","-0.21984","-8.32653"
"10.20000","-0.22094","-8.34677"
"10.25000","-0.22203","-8.37743"
"10.30000","-0.22312","-8.43906"
"10.35000","-0.22438","-8.51737"
"10.40000","-0.22547","-8.53663"
"10.45000","-0.22656","-8.57245"
"10.50000","-0.22750","-8.59606"
"10.55000","-0.22859","-8.67324"
"10.60000","-0.22969","-8.69233"
"10.65000","-0.23094","-8.77070"
"10.70000","-0.23203","-8.78604"
"10.75000","-0.23297","-8.85307"
"10.80000","-0.23406","-8.91684"
"10.85000","-0.23531","-8.88434"
"10.90000","-0.23641","-8.97933"
"10.95000","-0.23734","-9.04783"
"11.00000","-0.23844","-9.07703"
"11.05000","-0.23953","-9.13750"
"11.10000","-0.24047","-9.12057"
"11.15000","-0.24156","-9.17649"
"11.20000","-0.24266","-9.23050"
"11.25000","-0.24375","-9.25774"
"11.30000","-0.24469","-9.27730"
"11.35000","-0.24578","-9.37777"
"11.40000","-0.24688","-9.41914"
