Text Inputs : Specimen label,"G1NE_DRY"
Test : Rate 1,"1.30000",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"2.90200",mm
Dimension : Width,"13.30000",mm

Time,Extension,Load
(sec),(mm),(N)
"0.00000","0.00000","0.00790"
"0.05000","0.00000","0.02869"
"0.10000","-0.00016","-0.02636"
"0.15000","-0.00062","-0.00206"
"0.20000","-0.00125","-0.06036"
"0.25000","-0.00281","-0.03614"
"0.30000","-0.00469","-0.11614"
"0.35000","-0.00641","-0.18850"
"0.40000","-0.00797","-0.22513"
"0.45000","-0.00938","-0.30856"
"0.50000","-0.01062","-0.34981"
"0.55000","-0.01172","-0.35221"
"0.60000","-0.01281","-0.41989"
"0.65000","-0.01375","-0.45666"
"0.70000","-0.01484","-0.48005"
"0.75000","-0.01594","-0.49801"
"0.80000","-0.01703","-0.55517"
"0.85000","-0.01812","-0.57002"
"0.90000","-0.01938","-0.57796"
"0.95000","-0.02031","-0.64075"
"1.00000","-0.02141","-0.67276"
"1.05000","-0.02250","-0.67421"
"1.10000","-0.02359","-0.73070"
"1.15000","-0.02484","-0.75162"
"1.20000","-0.02594","-0.77776"
"1.25000","-0.02703","-0.81257"
"1.30000","-0.02812","-0.85925"
"1.35000","-0.02906","-0.86706"
"1.40000","-0.03031","-0.90113"
"1.45000","-0.03141","-0.92346"
"1.50000","-0.03250","-0.96360"
"1.55000","-0.03375","-0.95702"
"1.60000","-0.03469","-1.00865"
"1.65000","-0.03578","-1.02479"
"1.70000","-0.03688","-1.06779"
"1.75000","-0.03797","-1.05721"
"1.80000","-0.03906","-1.08641"
"1.85000","-0.04016","-1.12892"
"1.90000","-0.04125","-1.18621"
"1.95000","-0.04234","-1.24052"
"2.00000","-0.04344","-1.23292"
"2.05000","-0.04437","-1.22415"
"2.10000","-0.04547","-1.26533"
"2.15000","-0.04656","-1.27848"
"2.20000","-0.04766","-1.31644"
"2.25000","-0.04875","-1.36853"
"2.30000","-0.04984","-1.39002"
"2.35000","-0.05078","-1.42585"
"2.40000","-0.05172","-1.42888"
"2.45000","-0.05281","-1.45828"
"2.50000","-0.05406","-1.49071"
"2.55000","-0.05516","-1.51241"
"2.60000","-0.05609","-1.55321"
"2.65000","-0.05719","-1.58312"
"2.70000","-0.05828","-1.60312"
"2.75000","-0.05938","-1.60375"
"2.80000","-0.06062","-1.67544"
"2.85000","-0.06172","-1.68380"
"2.90000","-0.06281","-1.75925"
"2.95000","-0.06391","-1.76606"
"3.00000","-0.06500","-1.76018"
"3.05000","-0.06609","-1.77039"
"3.10000","-0.06719","-1.83737"
"3.15000","-0.06828","-1.86268"
"3.20000","-0.06938","-1.88439"
"3.25000","-0.07047","-1.93549"
"3.30000","-0.07156","-1.93691"
"3.35000","-0.07266","-1.99880"
"3.40000","-0.07359","-1.97789"
"3.45000","-0.07469","-2.01989"
"3.50000","-0.07578","-2.06485"
"3.55000","-0.07688","-2.07797"
"3.60000","-0.07797","-2.13527"
"3.65000","-0.07906","-2.13784"
"3.70000","-0.08016","-2.22806"
"3.75000","-0.08109","-2.21566"
"3.80000","-0.08219","-2.22099"
"3.85000","-0.08328","-2.26041"
"3.90000","-0.08438","-2.29702"
"3.95000","-0.08547","-2.31799"
"4.00000","-0.08641","-2.35570"
"4.05000","-0.08750","-2.35665"
"4.10000","-0.08859","-2.38799"
"4.15000","-0.08969","-2.39902"
"4.20000","-0.09094","-2.46995"
"4.25000","-0.09203","-2.48281"
"4.30000","-0.09313","-2.52623"
"4.35000","-0.09422","-2.55189"
"4.40000","-0.09531","-2.56955"
"4.45000","-0.09641","-2.61585"
"4.50000","-0.09750","-2.62894"
"4.55000","-0.09859","-2.64767"
"4.60000","-0.09969","-2.70404"
"4.65000","-0.10078","-2.69456"
"4.70000","-0.10188","-2.77984"
"4.75000","-0.10297","-2.77559"
"4.80000","-0.10406","-2.81480"
"4.85000","-0.10516","-2.81801"
"4.90000","-0.10625","-2.88085"
"4.95000","-0.10734","-2.91225"
"5.00000","-0.10844","-2.93050"
"5.05000","-0.10953","-2.94186"
"5.10000","-0.11062","-2.99165"
"5.15000","-0.11156","-3.00965"
"5.20000","-0.11266","-3.03184"
"5.25000","-0.11375","-3.06437"
"5.30000","-0.11500","-3.07903"
"5.35000","-0.11594","-3.16104"
"5.40000","-0.11703","-3.16526"
"5.45000","-0.11797","-3.17895"
"5.50000","-0.11906","-3.19373"
