Text Inputs : Specimen label,"G3NC_1_DRY"
Test : Rate 1,"14.79640",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"2.81600",mm
Dimension : Width,"12.99000",mm

Time,Extension,Load
(sec),(mm),(N)
"0.00000","0.00000","0.01116"
"0.05000","-0.00609","-0.02468"
"0.10000","-0.02047","-0.39752"
"0.15000","-0.03500","-0.76326"
"0.20000","-0.04844","-1.10794"
"0.25000","-0.06125","-1.40096"
"0.30000","-0.07359","-1.66606"
"0.35000","-0.08625","-1.95973"
"0.40000","-0.09875","-2.25172"
"0.45000","-0.11094","-2.49747"
"0.50000","-0.12328","-2.79005"
"0.55000","-0.13578","-3.04690"
"0.60000","-0.14781","-3.30626"
"0.65000","-0.16047","-3.57732"
"0.70000","-0.17266","-3.83153"
"0.75000","-0.18500","-4.10477"
"0.80000","-0.19750","-4.40493"
"0.85000","-0.20953","-4.66101"
"0.90000","-0.22203","-4.91159"
"0.95000","-0.23453","-5.19721"
"1.00000","-0.24672","-5.48639"
"1.05000","-0.25906","-5.77915"
"1.10000","-0.27141","-6.05040"
"1.15000","-0.28359","-6.27296"
"1.20000","-0.29578","-6.55408"
"1.25000","-0.30828","-6.84042"
"1.30000","-0.32047","-7.12638"
"1.35000","-0.33313","-7.37970"
"1.40000","-0.34547","-7.66202"
"1.45000","-0.35766","-7.96494"
"1.50000","-0.37016","-8.21651"
"1.55000","-0.38219","-8.51094"
"1.60000","-0.39469","-8.76580"
"1.65000","-0.40703","-9.04462"
"1.70000","-0.41922","-9.31478"
"1.75000","-0.43156","-9.58892"
"1.80000","-0.44391","-9.88579"
"1.85000","-0.45609","-10.14693"
"1.90000","-0.46844","-10.43728"
"1.95000","-0.48094","-10.67400"
"2.00000","-0.49328","-10.97695"
"2.05000","-0.50563","-11.25621"
"2.10000","-0.51797","-11.54935"
"2.15000","-0.53000","-11.76553"
"2.20000","-0.54266","-12.04745"
"2.25000","-0.55484","-12.33572"
"2.30000","-0.56719","-12.61172"
"2.35000","-0.57969","-12.91164"
"2.40000","-0.59172","-13.17388"
"2.45000","-0.60422","-13.44997"
"2.50000","-0.61656","-13.74360"
"2.55000","-0.62875","-14.01993"
"2.60000","-0.64125","-14.27627"
"2.65000","-0.65359","-14.59508"
"2.70000","-0.66594","-14.84386"
"2.75000","-0.67844","-15.13590"
"2.80000","-0.69062","-15.44408"
"2.85000","-0.70281","-15.71025"
"2.90000","-0.71531","-16.03345"
"2.95000","-0.72766","-16.32638"
"3.00000","-0.73984","-16.58901"
"3.05000","-0.75250","-16.89478"
"3.10000","-0.76438","-17.17030"
"3.15000","-0.77672","-17.43839"
"3.20000","-0.78937","-17.70996"
"3.25000","-0.80141","-17.98712"
"3.30000","-0.81391","-18.24567"
"3.35000","-0.82641","-18.52866"
"3.40000","-0.83844","-18.83247"
"3.45000","-0.85094","-19.11912"
"3.50000","-0.86328","-19.40416"
"3.55000","-0.87547","-19.69834"
"3.60000","-0.88797","-19.96983"
"3.65000","-0.90016","-20.22587"
"3.70000","-0.91234","-20.50601"
"3.75000","-0.92484","-20.79955"
"3.80000","-0.93703","-21.07652"
"3.85000","-0.94922","-21.36902"
"3.90000","-0.96203","-21.64043"
"3.95000","-0.97406","-21.92501"
"4.00000","-0.98656","-22.18774"
"4.05000","-0.99891","-22.47345"
"4.10000","-1.01094","-22.74653"
"4.15000","-1.02344","-23.01916"
"4.20000","-1.03578","-23.27995"
"4.25000","-1.04797","-23.57780"
"4.30000","-1.06047","-23.83221"
"4.35000","-1.07266","-24.12661"
"4.40000","-1.08500","-24.40890"
"4.45000","-1.09734","-24.67302"
"4.50000","-1.10969","-24.96463"
"4.55000","-1.12203","-25.27406"
"4.60000","-1.13469","-25.51804"
