Text Inputs : Specimen label,"G3NE_DRY"
"16.95000","-4.22031","-109.91499"
"17.00000","-4.23266","-110.20842"
"17.05000","-4.24516","-110.48239"
"17.10000","-4.25781","-110.77166"
"17.15000","-4.27016","-111.06597"
"17.20000","-4.28266","-111.38728"
"17.25000","-4.29531","-111.67757"
"17.30000","-4.30750","-111.99975"
"17.35000","-4.31984","-112.24795"
"17.40000","-4.33250","-112.58777"
"17.45000","-4.34469","-112.84886"
"17.50000","-4.35750","-113.14053"
"17.55000","-4.36969","-113.43504"
"17.60000","-4.38203","-113.71494"
"17.65000","-4.39469","-114.02940"
"17.70000","-4.40687","-114.28895"
"17.75000","-4.41953","-114.61878"
"17.80000","-4.43219","-114.90377"
"17.85000","-4.44453","-115.19139"
"17.90000","-4.45703","-115.48181"
"17.95000","-4.46953","-115.79342"
"18.00000","-4.48172","-116.06014"
"18.05000","-4.49422","-116.34380"
"18.10000","-4.50688","-116.64226"
"18.15000","-4.51906","-116.91860"
"18.20000","-4.53172","-117.20742"
"18.25000","-4.54406","-117.49454"
"18.30000","-4.55625","-117.75467"
"18.35000","-4.56906","-118.02894"
"18.40000","-4.58141","-118.32749"
"18.45000","-4.59391","-118.59852"
"18.50000","-4.60656","-118.88147"
"18.55000","-4.61875","-119.13095"
"18.60000","-4.63125","-119.44391"
"18.65000","-4.64359","-119.72341"
"18.70000","-4.65609","-119.96511"
"18.75000","-4.66859","-120.24892"
"18.80000","-4.68109","-120.48326"
"18.85000","-4.69344","-120.77344"
"18.90000","-4.70594","-121.03599"
"18.95000","-4.71828","-121.34305"
"19.00000","-4.73063","-121.57649"
"19.05000","-4.74344","-121.86683"
"19.10000","-4.75563","-122.15513"
"19.15000","-4.76813","-122.47195"
"19.20000","-4.78078","-122.74642"
"19.25000","-4.79281","-123.00453"
"19.30000","-4.80547","-123.30024"
"19.35000","-4.81797","-123.56730"
"19.40000","-4.83031","-123.81500"
"19.45000","-4.84281","-124.12215"
"19.50000","-4.85516","-124.39130"
"19.55000","-4.86750","-124.64081"
"19.60000","-4.88016","-124.91610"
"19.65000","-4.89266","-125.20023"
"19.70000","-4.90516","-125.44510"
"19.75000","-4.91781","-125.74838"
"19.80000","-4.93000","-125.97973"
"19.85000","-4.94234","-126.23679"
"19.90000","-4.95500","-126.50259"
"19.95000","-4.96719","-126.76992"
"20.00000","-4.97984","-127.02093"
"20.05000","-4.99219","-127.32129"
"20.10000","-5.00453","-127.51297"
"20.15000","-5.01719","-127.83051"
"20.20000","-5.02938","-128.04814"
"20.25000","-5.04203","-128.34830"
"20.30000","-5.05469","-128.60105"
"20.35000","-5.06703","-128.87227"
"20.40000","-5.07969","-129.09932"
"20.45000","-5.09203","-129.35830"
"20.50000","-5.10422","-129.61878"
"20.55000","-5.11672","-129.86721"
"20.60000","-5.12938","-130.15320"
"20.65000","-5.14156","-130.40207"
"20.70000","-5.15406","-130.63455"
"20.75000","-5.16672","-130.87129"
"20.80000","-5.17875","-131.12152"
"20.85000","-5.19156","-131.39172"
"20.90000","-5.20391","-131.61537"
"20.95000","-5.21641","-131.85178"
"21.00000","-5.22922","-132.16480"
"21.05000","-5.24125","-132.43196"
"21.10000","-5.25375","-132.66807"
"21.15000","-5.26625","-132.92555"
"21.20000","-5.27859","-133.16741"
"21.25000","-5.29109","-133.43257"
"21.30000","-5.30359","-133.66522"
"21.35000","-5.31594","-133.90610"
"21.40000","-5.32828","-134.13399"
"21.45000","-5.34078","-134.36174"
"21.50000","-5.35313","-134.60651"
"21.55000","-5.36594","-134.85651"
"21.60000","-5.37813","-135.12986"
"21.65000","-5.39062","-135.36762"
"21.70000","-5.40328","-135.61486"
"21.75000","-5.41531","-135.88101"
"21.80000","-5.42797","-136.08490"
"21.85000","-5.44062","-136.35024"
"21.90000","-5.45281","-136.60253"
"21.95000","-5.46547","-136.82842"
"22.00000","-5.47781","-137.08130"
"22.05000","-5.49000","-137.28620"
"22.10000","-5.50266","-137.53062"
"22.15000","-5.51516","-137.81442"
"22.20000","-5.52750","-138.03155"
"22.25000","-5.54031","-138.24175"
"22.30000","-5.55250","-138.49476"
"22.35000","-5.56484","-138.69734"
"22.40000","-5.57766","-138.94480"
"22.45000","-5.58969","-139.16275"
"22.50000","-5.60234","-139.36634"
"22.55000","-5.61484","-139.61967"
"22.60000","-5.62687","-139.82804"
"22.65000","-5.63969","-140.04248"
"22.70000","-5.65187","-140.26972"
"22.75000","-5.66438","-140.49763"
"22.80000","-5.67703","-140.72604"
"22.85000","-5.68953","-140.93806"
"22.90000","-5.70203","-141.20055"
"22.95000","-5.71453","-141.42104"
"23.00000","-5.72688","-141.65260"
"23.05000","-5.73922","-141.85378"
"23.10000","-5.75188","-142.06246"
"23.15000","-5.76406","-142.29741"
"23.20000","-5.77656","-142.52650"
"23.25000","-5.78922","-142.79812"
"23.30000","-5.80125","-143.03567"
"23.35000","-5.81391","-143.27665"
"23.40000","-5.82641","-143.52754"
"23.45000","-5.83875","-143.73913"
"23.50000","-5.85172","-144.01089"
"23.55000","-5.86375","-144.21308"
"23.60000","-5.87609","-144.41266"
"23.65000","-5.88875","-144.64250"
"23.70000","-5.90109","-144.83378"
"23.75000","-5.91359","-145.06192"
"23.80000","-5.92609","-145.29851"
"23.85000","-5.93844","-145.50623"
"23.90000","-5.95078","-145.70577"
"23.95000","-5.96344","-145.93901"
"24.00000","-5.97563","-146.12753"
"24.05000","-5.98828","-146.34202"
"24.10000","-6.00078","-146.55298"
"24.15000","-6.01313","-146.74495"
"24.20000","-6.02578","-146.97864"
"24.25000","-6.03797","-147.17773"
"24.30000","-6.05031","-147.35282"
"24.35000","-6.06297","-147.58929"
"24.40000","-6.07531","-147.78743"
"24.45000","-6.08781","-147.96034"
"24.50000","-6.10031","-148.18120"
"24.55000","-6.11250","-148.39415"
"24.60000","-6.12500","-148.59398"
"24.65000","-6.13766","-148.78943"
"24.70000","-6.15000","-148.99375"
"24.75000","-6.16250","-149.20882"
"24.80000","-6.17500","-149.42459"
"24.85000","-6.18734","-149.63362"
"24.90000","-6.20000","-149.82210"
"24.95000","-6.21219","-150.02482"
"25.00000","-6.22469","-150.24820"
"25.05000","-6.23750","-150.44557"
"25.10000","-6.24938","-150.59822"
"25.15000","-6.26203","-150.82449"
"25.20000","-6.27469","-151.02769"
"25.25000","-6.28687","-151.20766"
"25.30000","-6.29953","-151.42404"
"25.35000","-6.31188","-151.62083"
"25.40000","-6.32438","-151.79359"
"25.45000","-6.33703","-151.98709"
"25.50000","-6.34922","-152.16466"
"25.55000","-6.36172","-152.35244"
"25.60000","-6.37437","-152.57555"
"25.65000","-6.38672","-152.78432"
"25.70000","-6.39906","-152.96349"
"25.75000","-6.41172","-153.19671"
"25.80000","-6.42375","-153.35076"
"25.85000","-6.43641","-153.57079"
"25.90000","-6.44906","-153.79642"
"25.95000","-6.46109","-153.95775"
"26.00000","-6.47406","-154.18475"
"26.05000","-6.48625","-154.37406"
"26.10000","-6.49859","-154.53720"
"26.15000","-6.51125","-154.74549"
"26.20000","-6.52344","-154.90827"
"26.25000","-6.53609","-155.09452"
"26.30000","-6.54859","-155.31295"
"26.35000","-6.56078","-155.45995"
"26.40000","-6.57328","-155.65589"
"26.45000","-6.58594","-155.82253"
"26.50000","-6.59813","-156.03169"
"26.55000","-6.61078","-156.24538"
"26.60000","-6.62344","-156.41944"
"26.65000","-6.63562","-156.62270"
"26.70000","-6.64828","-156.78549"
"26.75000","-6.66047","-156.97967"
"26.80000","-6.67266","-157.13511"
"26.85000","-6.68563","-157.36826"
"26.90000","-6.69766","-157.51097"
"26.95000","-6.71031","-157.70894"
"27.00000","-6.72297","-157.88637"
"27.05000","-6.73500","-158.04807"
"27.10000","-6.74750","-158.23953"
"27.15000","-6.76016","-158.39478"
"27.20000","-6.77250","-158.58920"
"27.25000","-6.78500","-158.76601"
"27.30000","-6.79766","-158.96522"
"27.35000","-6.80969","-159.11989"
"27.40000","-6.82234","-159.27555"
"27.45000","-6.83469","-159.48026"
"27.50000","-6.84703","-159.62163"
"27.55000","-6.86000","-159.81313"
"27.60000","-6.87187","-159.99721"
"27.65000","-6.88453","-160.12602"
"27.70000","-6.89719","-160.30572"
"27.75000","-6.90922","-160.46954"
"27.80000","-6.92203","-160.63631"
"27.85000","-6.93469","-160.84822"
"27.90000","-6.94688","-160.96264"
"27.95000","-6.95953","-161.12566"
"28.00000","-6.97188","-161.29231"
"28.05000","-6.98406","-161.43054"
"28.10000","-6.99672","-161.60002"
"28.15000","-7.00922","-161.75143"
"28.20000","-7.02141","-161.88538"
"28.25000","-7.03422","-162.09144"
"28.30000","-7.04625","-162.25325"
"28.35000","-7.05875","-162.42621"
"28.40000","-7.07156","-162.59432"
"28.45000","-7.08359","-162.71485"
"28.50000","-7.09641","-162.91793"
"28.55000","-7.10891","-163.07320"
"28.60000","-7.12109","-163.18668"
"28.65000","-7.13375","-163.39289"
"28.70000","-7.14609","-163.53043"
"28.75000","-7.15844","-163.71068"
"28.80000","-7.17109","-163.86619"
"28.85000","-7.18328","-164.04767"
"28.90000","-7.19562","-164.16039"
"28.95000","-7.20828","-164.34681"
"29.00000","-7.22047","-164.50943"
"29.05000","-7.23297","-164.67042"
"29.10000","-7.24594","-164.81381"
"29.15000","-7.25797","-164.92490"
"29.20000","-7.27078","-165.07246"
"29.25000","-7.28313","-165.22642"
"29.30000","-7.29516","-165.29467"
"29.35000","-7.30797","-165.47333"
"29.40000","-7.32031","-165.58504"
"29.45000","-7.33266","-165.70738"
"29.50000","-7.34531","-165.87960"
"29.55000","-7.35750","-165.97748"
"29.60000","-7.37000","-166.14370"
"29.65000","-7.38266","-166.29416"
"29.70000","-7.39500","-166.43448"
"29.75000","-7.40766","-166.54801"
"29.80000","-7.42031","-166.70438"
"29.85000","-7.43234","-166.82643"
"29.90000","-7.44484","-166.97923"
"29.95000","-7.45734","-167.12053"
"30.00000","-7.46953","-167.24443"
"30.05000","-7.48234","-167.38513"
"30.10000","-7.49453","-167.52889"
"30.15000","-7.50687","-167.62925"
"30.20000","-7.51969","-167.79447"
"30.25000","-7.53172","-167.90377"
"30.30000","-7.54438","-168.03544"
"30.35000","-7.55719","-168.16553"
"30.40000","-7.56922","-168.27792"
"30.45000","-7.58188","-168.42052"
"30.50000","-7.59453","-168.54789"
"30.55000","-7.60656","-168.63028"
"30.60000","-7.61922","-168.77649"
"30.65000","-7.63172","-168.90716"
"30.70000","-7.64391","-169.01856"
"30.75000","-7.65656","-169.13675"
"30.80000","-7.66891","-169.27879"
"30.85000","-7.68125","-169.35235"
"30.90000","-7.69406","-169.50615"
"30.95000","-7.70609","-169.61571"
"31.00000","-7.71875","-169.75207"
"31.05000","-7.73156","-169.83323"
"31.10000","-7.74359","-169.90867"
"31.15000","-7.75625","-170.04551"
"31.20000","-7.76859","-170.14923"
"31.25000","-7.78094","-170.24130"
"31.30000","-7.79359","-170.39131"
"31.35000","-7.80594","-170.51123"
"31.40000","-7.81813","-170.58492"
"31.45000","-7.83078","-170.72562"
"31.50000","-7.84313","-170.81387"
"31.55000","-7.85547","-170.94402"
"31.60000","-7.86844","-171.05894"
"31.65000","-7.88031","-171.17398"
"31.70000","-7.89313","-171.26590"
"31.75000","-7.90578","-171.36950"
"31.80000","-7.91766","-171.45347"
"31.85000","-7.93047","-171.56329"
"31.90000","-7.94281","-171.68308"
"31.95000","-7.95516","-171.81059"
"32.00000","-7.96781","-171.91466"
"32.05000","-7.98016","-172.00585"
"32.10000","-7.99234","-172.15518"
"32.15000","-8.00500","-172.27676"
"32.20000","-8.01750","-172.40152"
"32.25000","-8.03000","-172.53656"
"32.30000","-8.04281","-172.64223"
"32.35000","-8.05484","-172.76496"
"32.40000","-8.06719","-172.86668"
"32.45000","-8.07984","-172.98909"
"32.50000","-8.09219","-173.04143"
"32.55000","-8.10484","-173.12115"
"32.60000","-8.11719","-173.22209"
"32.65000","-8.12938","-173.21562"
"32.70000","-8.14203","-173.37533"
"32.75000","-8.15422","-173.46371"
"32.80000","-8.16688","-173.53624"
"32.85000","-8.17969","-173.65957"
"32.90000","-8.19172","-173.74326"
"32.95000","-8.20438","-173.86548"
"33.00000","-8.21703","-173.96236"
"33.05000","-8.22906","-174.07263"
"33.10000","-8.24156","-174.15259"
"33.15000","-8.25422","-174.29028"
"33.20000","-8.26641","-174.37160"
"33.25000","-8.27906","-174.47008"
"33.30000","-8.29156","-174.57914"
"33.35000","-8.30359","-174.65146"
"33.40000","-8.31641","-174.76054"
"33.45000","-8.32875","-174.84823"
"33.50000","-8.34109","-174.92451"
"33.55000","-8.35391","-175.00401"
"33.60000","-8.36609","-175.06590"
"33.65000","-8.37875","-175.18647"
"33.70000","-8.39125","-175.26759"
"33.75000","-8.40344","-175.33142"
"33.80000","-8.41594","-175.48246"
"33.85000","-8.42844","-175.53484"
"33.90000","-8.44078","-175.61354"
"33.95000","-8.45328","-175.68756"
"34.00000","-8.46563","-175.78635"
"34.05000","-8.47797","-175.85294"
"34.10000","-8.49078","-175.95539"
"34.15000","-8.50297","-176.03496"
"34.20000","-8.51547","-176.08862"
"34.25000","-8.52828","-176.21106"
"34.30000","-8.54016","-176.25364"
"34.35000","-8.55281","-176.32226"
"34.40000","-8.56547","-176.45162"
"34.45000","-8.57766","-176.50330"
"34.50000","-8.59031","-176.59269"
"34.55000","-8.60266","-176.66433"
"34.60000","-8.61484","-176.70212"
"34.65000","-8.62750","-176.82012"
"34.70000","-8.64000","-176.88602"
"34.75000","-8.65250","-176.93095"
"34.80000","-8.66500","-177.03209"
"34.85000","-8.67734","-177.08572"
"34.90000","-8.68953","-177.13005"
"34.95000","-8.70250","-177.26758"
"35.00000","-8.71469","-177.34833"
"35.05000","-8.72719","-177.46976"
"35.10000","-8.73984","-177.53445"
"35.15000","-8.75187","-177.55602"
"35.20000","-8.76453","-177.69821"
"35.25000","-8.77688","-177.75491"
"35.30000","-8.78938","-177.80358"
"35.35000","-8.80203","-177.93190"
"35.40000","-8.81437","-177.97804"
"35.45000","-8.82688","-178.08206"
"35.50000","-8.83938","-178.15465"
"35.55000","-8.85172","-178.19291"
"35.60000","-8.86406","-178.25434"
"35.65000","-8.87688","-178.30838"
"35.70000","-8.88906","-178.34874"
"35.75000","-8.90141","-178.41375"
"35.80000","-8.91406","-178.48171"
"35.85000","-8.92609","-178.48391"
"35.90000","-8.93891","-178.58844"
"35.95000","-8.95125","-178.63926"
"36.00000","-8.96359","-178.67748"
"36.05000","-8.97641","-178.78314"
"36.10000","-8.98859","-178.83563"
"36.15000","-9.00094","-178.87957"
"36.20000","-9.01359","-178.96155"
"36.25000","-9.02594","-179.02771"
"36.30000","-9.03844","-179.06509"
"36.35000","-9.05094","-179.16413"
"36.40000","-9.06328","-179.18883"
