Text Inputs : Specimen label,"G3NE_DRY"
Test : Rate 1,"14.93964",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"2.78900",mm
Dimension : Width,"13.44000",mm

Time,Extension,Load
(sec),(mm),(N)
"0.00000","0.00000","-0.00552"
"0.05000","-0.00578","-0.06558"
"0.10000","-0.01984","-0.35838"
"0.15000","-0.03437","-0.69293"
"0.20000","-0.04828","-1.05270"
"0.25000","-0.06156","-1.39877"
"0.30000","-0.07437","-1.72275"
"0.35000","-0.08703","-2.01660"
"0.40000","-0.09937","-2.31357"
"0.45000","-0.11188","-2.63564"
"0.50000","-0.12438","-2.93981"
"0.55000","-0.13688","-3.20193"
"0.60000","-0.14922","-3.49724"
"0.65000","-0.16188","-3.80000"
"0.70000","-0.17406","-4.13453"
"0.75000","-0.18656","-4.42757"
"0.80000","-0.19922","-4.73862"
"0.85000","-0.21156","-5.04427"
"0.90000","-0.22422","-5.33499"
"0.95000","-0.23656","-5.62694"
"1.00000","-0.24891","-5.93615"
"1.05000","-0.26156","-6.24922"
"1.10000","-0.27391","-6.53447"
"1.15000","-0.28641","-6.85618"
"1.20000","-0.29891","-7.16218"
"1.25000","-0.31125","-7.51971"
"1.30000","-0.32359","-7.81921"
"1.35000","-0.33609","-8.11718"
"1.40000","-0.34844","-8.45143"
"1.45000","-0.36094","-8.77707"
"1.50000","-0.37359","-9.10765"
"1.55000","-0.38594","-9.40015"
"1.60000","-0.39859","-9.75031"
"1.65000","-0.41078","-10.10308"
"1.70000","-0.42312","-10.39255"
"1.75000","-0.43578","-10.71793"
"1.80000","-0.44813","-11.05231"
"1.85000","-0.46047","-11.36694"
"1.90000","-0.47297","-11.70825"
"1.95000","-0.48531","-12.03289"
"2.00000","-0.49766","-12.37717"
"2.05000","-0.51031","-12.68742"
"2.10000","-0.52281","-13.06734"
"2.15000","-0.53516","-13.36362"
"2.20000","-0.54781","-13.72351"
"2.25000","-0.56000","-14.05705"
"2.30000","-0.57266","-14.34578"
"2.35000","-0.58500","-14.73079"
"2.40000","-0.59734","-15.03163"
"2.45000","-0.61016","-15.37003"
"2.50000","-0.62234","-15.71390"
"2.55000","-0.63484","-16.04436"
"2.60000","-0.64734","-16.35356"
"2.65000","-0.65953","-16.69421"
"2.70000","-0.67219","-16.96463"
"2.75000","-0.68469","-17.33260"
"2.80000","-0.69719","-17.64693"
"2.85000","-0.70969","-17.98488"
"2.90000","-0.72219","-18.30711"
"2.95000","-0.73453","-18.68030"
"3.00000","-0.74703","-19.00540"
"3.05000","-0.75953","-19.34592"
"3.10000","-0.77188","-19.63905"
"3.15000","-0.78453","-19.96443"
"3.20000","-0.79656","-20.28923"
"3.25000","-0.80906","-20.58733"
"3.30000","-0.82172","-20.96823"
"3.35000","-0.83391","-21.27361"
"3.40000","-0.84656","-21.62718"
"3.45000","-0.85906","-22.00395"
"3.50000","-0.87141","-22.30085"
"3.55000","-0.88391","-22.68485"
"3.60000","-0.89625","-22.98150"
"3.65000","-0.90875","-23.32372"
"3.70000","-0.92125","-23.64082"
"3.75000","-0.93359","-23.99802"
"3.80000","-0.94594","-24.29113"
"3.85000","-0.95859","-24.67458"
"3.90000","-0.97078","-24.98698"
"3.95000","-0.98328","-25.29714"
"4.00000","-0.99609","-25.63019"
"4.05000","-1.00844","-26.03152"
"4.10000","-1.02094","-26.34262"
"4.15000","-1.03328","-26.67047"
"4.20000","-1.04563","-26.97667"
"4.25000","-1.05828","-27.31717"
"4.30000","-1.07047","-27.63771"
"4.35000","-1.08297","-27.97564"
"4.40000","-1.09547","-28.29542"
"4.45000","-1.10781","-28.69553"
"4.50000","-1.12016","-29.00042"
"4.55000","-1.13297","-29.36546"
"4.60000","-1.14516","-29.70360"
"4.65000","-1.15766","-30.03548"
"4.70000","-1.17047","-30.36447"
"4.75000","-1.18250","-30.69705"
"4.80000","-1.19500","-31.05696"
"4.85000","-1.20750","-31.36804"
"4.90000","-1.21969","-31.74108"
"4.95000","-1.23250","-32.07516"
"5.00000","-1.24484","-32.41354"
"5.05000","-1.25719","-32.72917"
"5.10000","-1.26984","-33.05740"
"5.15000","-1.28203","-33.39670"
"5.20000","-1.29469","-33.74496"
"5.25000","-1.30734","-34.07391"
"5.30000","-1.31953","-34.36408"
"5.35000","-1.33219","-34.73007"
"5.40000","-1.34469","-35.07681"
"5.45000","-1.35688","-35.40416"
"5.50000","-1.36938","-35.72198"
"5.55000","-1.38203","-36.08893"
"5.60000","-1.39422","-36.43912"
"5.65000","-1.40672","-36.74017"
"5.70000","-1.41922","-37.07331"
"5.75000","-1.43141","-37.42485"
"5.80000","-1.44422","-37.76404"
"5.85000","-1.45641","-38.10721"
"5.90000","-1.46906","-38.40731"
"5.95000","-1.48172","-38.77010"
"6.00000","-1.49375","-39.11338"
"6.05000","-1.50641","-39.45660"
"6.10000","-1.51875","-39.79226"
"6.15000","-1.53109","-40.15333"
"6.20000","-1.54375","-40.49472"
"6.25000","-1.55609","-40.82490"
"6.30000","-1.56844","-41.18348"
"6.35000","-1.58094","-41.53217"
"6.40000","-1.59344","-41.84817"
"6.45000","-1.60578","-42.22128"
"6.50000","-1.61859","-42.54729"
"6.55000","-1.63062","-42.87654"
"6.60000","-1.64328","-43.25414"
"6.65000","-1.65594","-43.56457"
"6.70000","-1.66797","-43.91589"
"6.75000","-1.68078","-44.23229"
"6.80000","-1.69328","-44.58333"
"6.85000","-1.70547","-44.91131"
"6.90000","-1.71812","-45.23121"
"6.95000","-1.73047","-45.59884"
"7.00000","-1.74266","-45.93975"
"7.05000","-1.75531","-46.24813"
"7.10000","-1.76766","-46.56953"
"7.15000","-1.78016","-46.91453"
"7.20000","-1.79313","-47.27717"
"7.25000","-1.80516","-47.62843"
"7.30000","-1.81750","-47.95322"
"7.35000","-1.83016","-48.30413"
"7.40000","-1.84219","-48.66001"
"7.45000","-1.85500","-48.98796"
"7.50000","-1.86734","-49.35188"
"7.55000","-1.87953","-49.70918"
"7.60000","-1.89234","-50.02165"
"7.65000","-1.90453","-50.36638"
"7.70000","-1.91719","-50.69373"
"7.75000","-1.92984","-51.05805"
"7.80000","-1.94203","-51.41815"
"7.85000","-1.95453","-51.77192"
"7.90000","-1.96719","-52.09804"
"7.95000","-1.97938","-52.44900"
"8.00000","-1.99188","-52.80861"
"8.05000","-2.00453","-53.15837"
"8.10000","-2.01656","-53.47852"
"8.15000","-2.02938","-53.86756"
"8.20000","-2.04172","-54.18500"
"8.25000","-2.05391","-54.48539"
"8.30000","-2.06672","-54.81953"
"8.35000","-2.07891","-55.16273"
"8.40000","-2.09156","-55.49420"
"8.45000","-2.10438","-55.87426"
"8.50000","-2.11625","-56.16268"
"8.55000","-2.12891","-56.50846"
"8.60000","-2.14141","-56.85288"
"8.65000","-2.15359","-57.21000"
"8.70000","-2.16625","-57.54726"
"8.75000","-2.17859","-57.87099"
"8.80000","-2.19094","-58.22534"
"8.85000","-2.20359","-58.57018"
"8.90000","-2.21594","-58.88593"
"8.95000","-2.22812","-59.23727"
"9.00000","-2.24109","-59.56815"
"9.05000","-2.25344","-59.92431"
"9.10000","-2.26578","-60.24153"
"9.15000","-2.27859","-60.63761"
"9.20000","-2.29031","-60.93270"
"9.25000","-2.30297","-61.24796"
"9.30000","-2.31563","-61.65376"
"9.35000","-2.32797","-61.97712"
"9.40000","-2.34047","-62.35394"
"9.45000","-2.35297","-62.69208"
"9.50000","-2.36516","-63.02565"
"9.55000","-2.37781","-63.35302"
"9.60000","-2.39031","-63.68986"
"9.65000","-2.40266","-64.05242"
"9.70000","-2.41547","-64.33536"
"9.75000","-2.42766","-64.67410"
"9.80000","-2.43984","-64.97150"
"9.85000","-2.45281","-65.33226"
"9.90000","-2.46484","-65.63339"
"9.95000","-2.47750","-65.95490"
"10.00000","-2.49016","-66.30108"
"10.05000","-2.50203","-66.61947"
"10.10000","-2.51484","-66.97144"
"10.15000","-2.52703","-67.28211"
"10.20000","-2.53953","-67.57830"
"10.25000","-2.55219","-67.92724"
"10.30000","-2.56469","-68.24331"
"10.35000","-2.57719","-68.55564"
"10.40000","-2.58969","-68.87190"
"10.45000","-2.60187","-69.19698"
"10.50000","-2.61437","-69.50659"
"10.55000","-2.62703","-69.84919"
"10.60000","-2.63922","-70.18097"
"10.65000","-2.65172","-70.49145"
"10.70000","-2.66438","-70.83485"
"10.75000","-2.67625","-71.17247"
"10.80000","-2.68906","-71.44805"
"10.85000","-2.70156","-71.79999"
"10.90000","-2.71391","-72.10204"
"10.95000","-2.72672","-72.42788"
"11.00000","-2.73891","-72.74302"
"11.05000","-2.75125","-73.05732"
"11.10000","-2.76391","-73.39933"
"11.15000","-2.77625","-73.72735"
"11.20000","-2.78875","-74.04488"
"11.25000","-2.80125","-74.35263"
"11.30000","-2.81344","-74.68797"
"11.35000","-2.82594","-74.95178"
"11.40000","-2.83844","-75.28787"
"11.45000","-2.85062","-75.62619"
"11.50000","-2.86344","-75.93657"
"11.55000","-2.87578","-76.26340"
"11.60000","-2.88813","-76.57797"
"11.65000","-2.90094","-76.88550"
"11.70000","-2.91297","-77.19129"
"11.75000","-2.92547","-77.52474"
"11.80000","-2.93828","-77.83732"
"11.85000","-2.95047","-78.15960"
"11.90000","-2.96297","-78.44611"
"11.95000","-2.97547","-78.73309"
"12.00000","-2.98766","-79.08319"
"12.05000","-3.00031","-79.41887"
"12.10000","-3.01297","-79.73144"
"12.15000","-3.02516","-80.05424"
"12.20000","-3.03781","-80.37284"
"12.25000","-3.05016","-80.69811"
"12.30000","-3.06234","-81.00798"
"12.35000","-3.07531","-81.35099"
"12.40000","-3.08734","-81.68734"
"12.45000","-3.09984","-81.95194"
"12.50000","-3.11266","-82.32424"
"12.55000","-3.12453","-82.59845"
"12.60000","-3.13719","-82.93509"
"12.65000","-3.14969","-83.27579"
"12.70000","-3.16203","-83.54787"
"12.75000","-3.17484","-83.91749"
"12.80000","-3.18719","-84.25790"
"12.85000","-3.19953","-84.61195"
"12.90000","-3.21219","-84.92544"
"12.95000","-3.22437","-85.22699"
"13.00000","-3.23656","-85.51291"
"13.05000","-3.24938","-85.86464"
"13.10000","-3.26172","-86.17733"
"13.15000","-3.27406","-86.49262"
"13.20000","-3.28688","-86.77551"
"13.25000","-3.29891","-87.10532"
"13.30000","-3.31156","-87.40660"
"13.35000","-3.32406","-87.73373"
"13.40000","-3.33625","-88.07174"
"13.45000","-3.34922","-88.36288"
"13.50000","-3.36156","-88.67273"
"13.55000","-3.37391","-88.97681"
"13.60000","-3.38641","-89.32838"
"13.65000","-3.39859","-89.64118"
"13.70000","-3.41109","-89.92520"
"13.75000","-3.42375","-90.25563"
"13.80000","-3.43594","-90.59165"
"13.85000","-3.44844","-90.90633"
"13.90000","-3.46094","-91.25577"
"13.95000","-3.47312","-91.53550"
"14.00000","-3.48594","-91.87253"
"14.05000","-3.49844","-92.16455"
"14.10000","-3.51063","-92.49894"
"14.15000","-3.52344","-92.82466"
"14.20000","-3.53563","-93.12662"
"14.25000","-3.54797","-93.42533"
"14.30000","-3.56078","-93.77263"
"14.35000","-3.57297","-94.06990"
"14.40000","-3.58547","-94.40851"
"14.45000","-3.59797","-94.72728"
"14.50000","-3.61016","-95.01756"
"14.55000","-3.62266","-95.32272"
"14.60000","-3.63547","-95.63575"
"14.65000","-3.64766","-95.94552"
"14.70000","-3.66016","-96.26994"
"14.75000","-3.67281","-96.58244"
"14.80000","-3.68484","-96.87722"
"14.85000","-3.69750","-97.17031"
"14.90000","-3.71000","-97.51300"
"14.95000","-3.72234","-97.79374"
"15.00000","-3.73516","-98.11559"
"15.05000","-3.74703","-98.39877"
"15.10000","-3.75969","-98.67811"
"15.15000","-3.77234","-98.99254"
"15.20000","-3.78438","-99.28496"
"15.25000","-3.79703","-99.62353"
"15.30000","-3.80969","-99.96427"
"15.35000","-3.82203","-100.25613"
"15.40000","-3.83469","-100.57020"
"15.45000","-3.84687","-100.89116"
"15.50000","-3.85922","-101.13182"
"15.55000","-3.87188","-101.48314"
"15.60000","-3.88422","-101.81973"
"15.65000","-3.89656","-102.11959"
"15.70000","-3.90938","-102.40888"
"15.75000","-3.92141","-102.70583"
"15.80000","-3.93391","-103.00927"
"15.85000","-3.94672","-103.33406"
"15.90000","-3.95875","-103.63884"
"15.95000","-3.97156","-103.93438"
"16.00000","-3.98406","-104.23993"
"16.05000","-3.99625","-104.53077"
"16.10000","-4.00891","-104.85080"
"16.15000","-4.02125","-105.15182"
"16.20000","-4.03359","-105.44474"
"16.25000","-4.04625","-105.79314"
"16.30000","-4.05844","-106.06888"
"16.35000","-4.07078","-106.36277"
"16.40000","-4.08344","-106.69794"
"16.45000","-4.09578","-106.94760"
"16.50000","-4.10828","-107.24653"
"16.55000","-4.12109","-107.55331"
"16.60000","-4.13313","-107.85817"
"16.65000","-4.14578","-108.15591"
"16.70000","-4.15813","-108.44210"
"16.75000","-4.17047","-108.70663"
"16.80000","-4.18313","-109.03059"
"16.85000","-4.19531","-109.33175"
"16.90000","-4.20781","-109.61066"
