Text Inputs : Specimen label,"G1NC_0.5"
Test : Rate 1,"18.15541",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"2.29500",mm
Dimension : Width,"13.00000",mm

Time,Extension,Load
(sec),(mm),(N)
"0.00000","0.00000","0.01614"
"0.05000","-0.01000","-0.05269"
"0.10000","-0.02672","-0.33094"
"0.15000","-0.04359","-0.62251"
"0.20000","-0.05953","-0.81039"
"0.25000","-0.07531","-1.11199"
"0.30000","-0.09047","-1.34470"
"0.35000","-0.10578","-1.53933"
"0.40000","-0.12063","-1.71843"
"0.45000","-0.13609","-1.98567"
"0.50000","-0.15109","-2.20662"
"0.55000","-0.16625","-2.44314"
"0.60000","-0.18141","-2.68273"
"0.65000","-0.19641","-2.92912"
"0.70000","-0.21172","-3.13736"
"0.75000","-0.22687","-3.37748"
"0.80000","-0.24219","-3.60199"
"0.85000","-0.25719","-3.84334"
"0.90000","-0.27234","-4.07159"
"0.95000","-0.28750","-4.30349"
"1.00000","-0.30250","-4.55562"
"1.05000","-0.31781","-4.78235"
"1.10000","-0.33266","-5.00628"
"1.15000","-0.34813","-5.23633"
"1.20000","-0.36297","-5.48764"
"1.25000","-0.37828","-5.73127"
"1.30000","-0.39328","-5.97514"
"1.35000","-0.40859","-6.20635"
"1.40000","-0.42375","-6.42769"
"1.45000","-0.43875","-6.69669"
"1.50000","-0.45406","-6.93320"
"1.55000","-0.46906","-7.13597"
"1.60000","-0.48437","-7.41240"
"1.65000","-0.49922","-7.62902"
"1.70000","-0.51437","-7.88408"
"1.75000","-0.52938","-8.09315"
"1.80000","-0.54469","-8.32865"
"1.85000","-0.56000","-8.58554"
"1.90000","-0.57484","-8.83253"
"1.95000","-0.59016","-9.06722"
"2.00000","-0.60516","-9.30559"
"2.05000","-0.62031","-9.54836"
"2.10000","-0.63547","-9.76291"
"2.15000","-0.65047","-10.02491"
"2.20000","-0.66563","-10.26240"
"2.25000","-0.68063","-10.50633"
"2.30000","-0.69609","-10.76571"
"2.35000","-0.71109","-10.96909"
"2.40000","-0.72641","-11.23167"
"2.45000","-0.74125","-11.52585"
"2.50000","-0.75656","-11.71857"
"2.55000","-0.77156","-11.95748"
"2.60000","-0.78672","-12.19193"
"2.65000","-0.80188","-12.44233"
"2.70000","-0.81672","-12.66426"
"2.75000","-0.83219","-12.91310"
"2.80000","-0.84719","-13.13697"
"2.85000","-0.86234","-13.42424"
"2.90000","-0.87766","-13.63971"
"2.95000","-0.89250","-13.85651"
"3.00000","-0.90797","-14.09458"
"3.05000","-0.92266","-14.34517"
"3.10000","-0.93828","-14.58765"
"3.15000","-0.95297","-14.80222"
"3.20000","-0.96828","-15.05477"
"3.25000","-0.98328","-15.31358"
"3.30000","-0.99844","-15.53166"
"3.35000","-1.01375","-15.77001"
"3.40000","-1.02891","-16.00301"
"3.45000","-1.04406","-16.27135"
"3.50000","-1.05906","-16.55376"
"3.55000","-1.07438","-16.73343"
"3.60000","-1.08938","-17.03099"
"3.65000","-1.10453","-17.28171"
"3.70000","-1.11969","-17.51478"
"3.75000","-1.13469","-17.76169"
"3.80000","-1.15000","-17.97678"
"3.85000","-1.16484","-18.26025"
"3.90000","-1.18047","-18.51263"
"3.95000","-1.19516","-18.74219"
"4.00000","-1.21031","-18.97686"
"4.05000","-1.22531","-19.24011"
"4.10000","-1.24063","-19.47440"
"4.15000","-1.25578","-19.72149"
"4.20000","-1.27063","-19.96920"
"4.25000","-1.28609","-20.23531"
"4.30000","-1.30094","-20.49095"
"4.35000","-1.31625","-20.73064"
"4.40000","-1.33125","-20.95203"
"4.45000","-1.34656","-21.20512"
"4.50000","-1.36156","-21.43397"
"4.55000","-1.37656","-21.70955"
"4.60000","-1.39203","-21.93570"
"4.65000","-1.40703","-22.15184"
"4.70000","-1.42234","-22.43915"
"4.75000","-1.43719","-22.74390"
"4.80000","-1.45234","-22.92624"
"4.85000","-1.46750","-23.11707"
"4.90000","-1.48266","-23.33645"
"4.95000","-1.49813","-23.65169"
"5.00000","-1.51281","-23.90770"
"5.05000","-1.52828","-24.11784"
"5.10000","-1.54297","-24.34499"
"5.15000","-1.55844","-24.62280"
"5.20000","-1.57344","-24.92332"
"5.25000","-1.58844","-25.17366"
"5.30000","-1.60375","-25.34686"
"5.35000","-1.61875","-25.60772"
"5.40000","-1.63422","-25.90857"
"5.45000","-1.64906","-26.14678"
"5.50000","-1.66438","-26.33148"
"5.55000","-1.67938","-26.61977"
"5.60000","-1.69453","-26.90229"
"5.65000","-1.70984","-27.16807"
"5.70000","-1.72469","-27.40319"
"5.75000","-1.74000","-27.65572"
"5.80000","-1.75484","-27.91719"
"5.85000","-1.77031","-28.16662"
"5.90000","-1.78516","-28.37844"
"5.95000","-1.80063","-28.63942"
"6.00000","-1.81547","-28.90940"
"6.05000","-1.83062","-29.13122"
"6.10000","-1.84578","-29.35529"
"6.15000","-1.86078","-29.58598"
"6.20000","-1.87625","-29.86172"
"6.25000","-1.89109","-30.11796"
"6.30000","-1.90641","-30.34831"
"6.35000","-1.92125","-30.56865"
"6.40000","-1.93656","-30.79836"
"6.45000","-1.95188","-31.05350"
"6.50000","-1.96672","-31.27793"
"6.55000","-1.98219","-31.48723"
"6.60000","-1.99672","-31.72800"
"6.65000","-2.01234","-31.99198"
"6.70000","-2.02719","-32.24167"
"6.75000","-2.04250","-32.45630"
"6.80000","-2.05750","-32.69046"
"6.85000","-2.07250","-32.96161"
"6.90000","-2.08797","-33.15968"
"6.95000","-2.10281","-33.35190"
"7.00000","-2.11828","-33.60922"
"7.05000","-2.13328","-33.85296"
"7.10000","-2.14828","-34.09730"
"7.15000","-2.16359","-34.34844"
"7.20000","-2.17859","-34.58981"
"7.25000","-2.19391","-34.81801"
"7.30000","-2.20875","-35.03947"
"7.35000","-2.22406","-35.28527"
"7.40000","-2.23891","-35.54469"
"7.45000","-2.25438","-35.78078"
"7.50000","-2.26953","-36.02142"
"7.55000","-2.28484","-36.25751"
"7.60000","-2.29984","-36.50261"
"7.65000","-2.31469","-36.71115"
"7.70000","-2.33016","-36.99442"
"7.75000","-2.34500","-37.21947"
"7.80000","-2.36031","-37.46471"
"7.85000","-2.37516","-37.73412"
"7.90000","-2.39031","-37.94877"
"7.95000","-2.40563","-38.21002"
"8.00000","-2.42062","-38.43905"
"8.05000","-2.43609","-38.70436"
"8.10000","-2.45094","-38.88956"
"8.15000","-2.46625","-39.16986"
"8.20000","-2.48125","-39.40882"
"8.25000","-2.49641","-39.62877"
"8.30000","-2.51141","-39.84958"
"8.35000","-2.52641","-40.09712"
"8.40000","-2.54172","-40.30300"
"8.45000","-2.55672","-40.59130"
"8.50000","-2.57234","-40.79422"
"8.55000","-2.58703","-41.05397"
"8.60000","-2.60250","-41.28284"
"8.65000","-2.61719","-41.45282"
"8.70000","-2.63266","-41.69999"
