Text Inputs : Specimen label,"G3NC_0.5"
Test : Rate 1,"16.32067",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"2.55300",mm
Dimension : Width,"13.17000",mm

Time,Extension,Load
(sec),(mm),(N)
"0.00000","-0.00016","0.04966"
"0.05000","-0.00594","-0.03388"
"0.10000","-0.02156","-0.24828"
"0.15000","-0.03781","-0.56304"
"0.20000","-0.05297","-0.79068"
"0.25000","-0.06750","-1.00453"
"0.30000","-0.08141","-1.24461"
"0.35000","-0.09500","-1.44705"
"0.40000","-0.10891","-1.69372"
"0.45000","-0.12234","-1.90801"
"0.50000","-0.13609","-2.10774"
"0.55000","-0.14953","-2.34541"
"0.60000","-0.16328","-2.54201"
"0.65000","-0.17703","-2.74860"
"0.70000","-0.19062","-2.95425"
"0.75000","-0.20437","-3.21599"
"0.80000","-0.21781","-3.41651"
"0.85000","-0.23156","-3.63382"
"0.90000","-0.24516","-3.84422"
"0.95000","-0.25875","-4.08108"
"1.00000","-0.27234","-4.27777"
"1.05000","-0.28594","-4.51109"
"1.10000","-0.29938","-4.72720"
"1.15000","-0.31297","-4.95925"
"1.20000","-0.32641","-5.16537"
"1.25000","-0.34016","-5.39049"
"1.30000","-0.35391","-5.60586"
"1.35000","-0.36734","-5.82751"
"1.40000","-0.38125","-6.00941"
"1.45000","-0.39453","-6.26699"
"1.50000","-0.40828","-6.48217"
"1.55000","-0.42172","-6.72778"
"1.60000","-0.43531","-6.93669"
"1.65000","-0.44906","-7.14963"
"1.70000","-0.46234","-7.37048"
"1.75000","-0.47594","-7.59326"
"1.80000","-0.48969","-7.78697"
"1.85000","-0.50328","-8.00744"
"1.90000","-0.51719","-8.24175"
"1.95000","-0.53062","-8.45753"
"2.00000","-0.54406","-8.69010"
"2.05000","-0.55781","-8.94353"
"2.10000","-0.57125","-9.12616"
"2.15000","-0.58516","-9.35271"
"2.20000","-0.59844","-9.53296"
"2.25000","-0.61219","-9.74173"
"2.30000","-0.62578","-9.98865"
"2.35000","-0.63922","-10.19419"
"2.40000","-0.65297","-10.40684"
"2.45000","-0.66656","-10.65178"
"2.50000","-0.68031","-10.88730"
"2.55000","-0.69406","-11.13758"
"2.60000","-0.70750","-11.30386"
"2.65000","-0.72109","-11.52075"
"2.70000","-0.73469","-11.73952"
"2.75000","-0.74813","-11.95206"
"2.80000","-0.76203","-12.18066"
"2.85000","-0.77531","-12.38858"
"2.90000","-0.78906","-12.58482"
"2.95000","-0.80266","-12.83795"
"3.00000","-0.81609","-13.08023"
"3.05000","-0.83016","-13.30842"
"3.10000","-0.84328","-13.51297"
"3.15000","-0.85703","-13.73047"
"3.20000","-0.87063","-13.94857"
"3.25000","-0.88422","-14.14843"
"3.30000","-0.89781","-14.37775"
"3.35000","-0.91141","-14.60502"
"3.40000","-0.92484","-14.84574"
"3.45000","-0.93859","-15.02808"
"3.50000","-0.95188","-15.31572"
"3.55000","-0.96594","-15.54367"
"3.60000","-0.97953","-15.75240"
"3.65000","-0.99313","-15.94430"
"3.70000","-1.00688","-16.18487"
"3.75000","-1.02016","-16.38839"
"3.80000","-1.03391","-16.61598"
"3.85000","-1.04734","-16.81467"
"3.90000","-1.06094","-17.04532"
"3.95000","-1.07469","-17.30336"
"4.00000","-1.08797","-17.52285"
"4.05000","-1.10172","-17.76078"
"4.10000","-1.11547","-17.94318"
"4.15000","-1.12891","-18.18595"
"4.20000","-1.14281","-18.40419"
"4.25000","-1.15625","-18.63564"
"4.30000","-1.16969","-18.84944"
"4.35000","-1.18359","-19.09713"
"4.40000","-1.19688","-19.32251"
"4.45000","-1.21078","-19.55380"
"4.50000","-1.22406","-19.78339"
"4.55000","-1.23766","-20.00526"
"4.60000","-1.25141","-20.26525"
"4.65000","-1.26484","-20.46801"
"4.70000","-1.27875","-20.67135"
"4.75000","-1.29234","-20.91581"
"4.80000","-1.30594","-21.16076"
"4.85000","-1.31969","-21.37432"
"4.90000","-1.33297","-21.60442"
"4.95000","-1.34672","-21.83088"
"5.00000","-1.36031","-22.07959"
"5.05000","-1.37375","-22.33980"
"5.10000","-1.38766","-22.52717"
"5.15000","-1.40094","-22.76196"
"5.20000","-1.41469","-22.97850"
"5.25000","-1.42828","-23.23417"
"5.30000","-1.44172","-23.42667"
"5.35000","-1.45578","-23.66965"
"5.40000","-1.46891","-23.88991"
"5.45000","-1.48266","-24.13974"
"5.50000","-1.49625","-24.35892"
"5.55000","-1.50969","-24.61284"
"5.60000","-1.52344","-24.83195"
"5.65000","-1.53703","-25.06769"
"5.70000","-1.55047","-25.27160"
"5.75000","-1.56422","-25.54538"
"5.80000","-1.57766","-25.76787"
"5.85000","-1.59156","-25.98478"
"5.90000","-1.60500","-26.22392"
"5.95000","-1.61859","-26.44630"
"6.00000","-1.63250","-26.70743"
"6.05000","-1.64562","-26.91451"
"6.10000","-1.65953","-27.09923"
"6.15000","-1.67297","-27.32662"
"6.20000","-1.68656","-27.56306"
"6.25000","-1.70031","-27.82170"
"6.30000","-1.71375","-28.04955"
"6.35000","-1.72734","-28.23224"
"6.40000","-1.74109","-28.46287"
"6.45000","-1.75453","-28.68858"
"6.50000","-1.76859","-28.92107"
"6.55000","-1.78172","-29.19261"
"6.60000","-1.79531","-29.40709"
"6.65000","-1.80906","-29.62460"
"6.70000","-1.82250","-29.85672"
"6.75000","-1.83656","-30.05464"
"6.80000","-1.84969","-30.28911"
"6.85000","-1.86344","-30.50948"
"6.90000","-1.87703","-30.74097"
"6.95000","-1.89047","-30.93777"
"7.00000","-1.90453","-31.19949"
"7.05000","-1.91781","-31.44942"
"7.10000","-1.93156","-31.62261"
"7.15000","-1.94531","-31.87414"
"7.20000","-1.95859","-32.09620"
"7.25000","-1.97234","-32.33101"
"7.30000","-1.98594","-32.57858"
"7.35000","-1.99922","-32.77675"
"7.40000","-2.01328","-33.02877"
"7.45000","-2.02641","-33.20947"
"7.50000","-2.04031","-33.45303"
"7.55000","-2.05375","-33.71800"
"7.60000","-2.06750","-33.94832"
"7.65000","-2.08141","-34.15728"
"7.70000","-2.09453","-34.41401"
