Text Inputs : Specimen label,"G3CF_DRY"
Test : Rate 1,"0.70000",mm/min
Dimension : Support span,"25.60000",mm
Dimension : Thickness,"1.52500",mm
Dimension : Width,"12.70000",mm

Time,Extension,Load
(sec),(mm),(N)
"0.00000","0.00000","0.09615"
"0.05000","0.00000","-0.01320"
"0.10000","0.00000","0.04386"
"0.15000","-0.00016","0.01627"
"0.20000","-0.00047","-0.05103"
"0.25000","-0.00078","-0.09035"
"0.30000","-0.00156","-0.17779"
"0.35000","-0.00250","-0.39418"
"0.40000","-0.00359","-0.64588"
"0.45000","-0.00438","-0.87910"
"0.50000","-0.00531","-1.12276"
"0.55000","-0.00625","-1.35455"
"0.60000","-0.00703","-1.55668"
"0.65000","-0.00766","-1.77501"
"0.70000","-0.00828","-1.89172"
"0.75000","-0.00891","-2.07881"
"0.80000","-0.00938","-2.24242"
"0.85000","-0.01000","-2.40286"
"0.90000","-0.01062","-2.48684"
"0.95000","-0.01109","-2.65845"
"1.00000","-0.01172","-2.80027"
"1.05000","-0.01234","-2.96627"
"1.10000","-0.01281","-3.04445"
"1.15000","-0.01344","-3.22640"
"1.20000","-0.01406","-3.40668"
"1.25000","-0.01469","-3.52689"
"1.30000","-0.01531","-3.69317"
"1.35000","-0.01594","-3.81693"
"1.40000","-0.01641","-3.98540"
"1.45000","-0.01703","-4.12384"
"1.50000","-0.01766","-4.28500"
"1.55000","-0.01828","-4.45578"
"1.60000","-0.01875","-4.54925"
"1.65000","-0.01938","-4.70468"
"1.70000","-0.02000","-4.77878"
"1.75000","-0.02063","-4.97290"
"1.80000","-0.02109","-5.13312"
"1.85000","-0.02172","-5.26210"
"1.90000","-0.02234","-5.43496"
"1.95000","-0.02281","-5.57057"
"2.00000","-0.02344","-5.72956"
"2.05000","-0.02406","-5.90983"
"2.10000","-0.02453","-6.00287"
"2.15000","-0.02516","-6.11700"
"2.20000","-0.02563","-6.20767"
"2.25000","-0.02625","-6.36046"
"2.30000","-0.02672","-6.44864"
"2.35000","-0.02734","-6.58519"
"2.40000","-0.02797","-6.73806"
"2.45000","-0.02859","-6.94149"
"2.50000","-0.02922","-7.01483"
"2.55000","-0.02984","-7.25039"
"2.60000","-0.03031","-7.34718"
"2.65000","-0.03094","-7.47132"
"2.70000","-0.03156","-7.68175"
"2.75000","-0.03219","-7.73728"
"2.80000","-0.03266","-7.90678"
"2.85000","-0.03328","-8.07333"
"2.90000","-0.03375","-8.17540"
"2.95000","-0.03437","-8.26431"
"3.00000","-0.03500","-8.37801"
"3.05000","-0.03563","-8.65249"
"3.10000","-0.03625","-8.72317"
"3.15000","-0.03688","-8.85990"
"3.20000","-0.03750","-9.01833"
"3.25000","-0.03812","-9.21948"
"3.30000","-0.03875","-9.33710"
"3.35000","-0.03922","-9.43750"
"3.40000","-0.03984","-9.58223"
"3.45000","-0.04047","-9.70131"
"3.50000","-0.04094","-9.84982"
"3.55000","-0.04156","-10.03486"
"3.60000","-0.04219","-10.07703"
"3.65000","-0.04281","-10.26635"
"3.70000","-0.04328","-10.39271"
"3.75000","-0.04391","-10.48920"
"3.80000","-0.04453","-10.66720"
"3.85000","-0.04516","-10.78654"
"3.90000","-0.04578","-10.93023"
"3.95000","-0.04641","-11.05710"
"4.00000","-0.04688","-11.19929"
"4.05000","-0.04750","-11.35786"
"4.10000","-0.04812","-11.46130"
"4.15000","-0.04875","-11.62678"
"4.20000","-0.04922","-11.74535"
"4.25000","-0.04984","-11.88781"
"4.30000","-0.05047","-12.01843"
"4.35000","-0.05094","-12.15103"
"4.40000","-0.05156","-12.28584"
"4.45000","-0.05219","-12.42934"
"4.50000","-0.05281","-12.55264"
"4.55000","-0.05328","-12.70306"
"4.60000","-0.05391","-12.80923"
"4.65000","-0.05453","-12.98544"
"4.70000","-0.05500","-13.10363"
"4.75000","-0.05563","-13.24443"
"4.80000","-0.05625","-13.35583"
"4.85000","-0.05672","-13.50581"
"4.90000","-0.05734","-13.66635"
"4.95000","-0.05797","-13.78705"
"5.00000","-0.05844","-13.89363"
"5.05000","-0.05906","-14.10053"
"5.10000","-0.05969","-14.17825"
"5.15000","-0.06031","-14.31306"
"5.20000","-0.06078","-14.46381"
"5.25000","-0.06141","-14.57255"
"5.30000","-0.06203","-14.72627"
"5.35000","-0.06250","-14.86420"
"5.40000","-0.06313","-15.01665"
"5.45000","-0.06359","-15.12964"
"5.50000","-0.06406","-15.18669"
"5.55000","-0.06469","-15.38681"
"5.60000","-0.06531","-15.49872"
"5.65000","-0.06594","-15.68185"
"5.70000","-0.06656","-15.79248"
"5.75000","-0.06719","-15.97962"
"5.80000","-0.06781","-16.09785"
"5.85000","-0.06844","-16.24050"
"5.90000","-0.06891","-16.39062"
"5.95000","-0.06953","-16.52144"
"6.00000","-0.07000","-16.65953"
"6.05000","-0.07062","-16.81286"
"6.10000","-0.07125","-16.91179"
"6.15000","-0.07172","-17.03998"
"6.20000","-0.07250","-17.19748"
"6.25000","-0.07297","-17.35879"
"6.30000","-0.07359","-17.48330"
"6.35000","-0.07422","-17.64403"
"6.40000","-0.07484","-17.77263"
"6.45000","-0.07547","-17.91844"
"6.50000","-0.07609","-18.06110"
"6.55000","-0.07672","-18.22286"
"6.60000","-0.07719","-18.31583"
"6.65000","-0.07781","-18.49548"
"6.70000","-0.07844","-18.60761"
"6.75000","-0.07891","-18.74404"
"6.80000","-0.07953","-18.88040"
"6.85000","-0.08016","-18.99006"
"6.90000","-0.08078","-19.14722"
"6.95000","-0.08125","-19.28366"
"7.00000","-0.08188","-19.45302"
"7.05000","-0.08250","-19.57946"
"7.10000","-0.08312","-19.69526"
"7.15000","-0.08375","-19.80387"
"7.20000","-0.08422","-19.92585"
"7.25000","-0.08484","-20.11766"
"7.30000","-0.08547","-20.25126"
"7.35000","-0.08594","-20.37973"
"7.40000","-0.08656","-20.49679"
"7.45000","-0.08719","-20.63493"
"7.50000","-0.08766","-20.73474"
"7.55000","-0.08828","-20.93291"
"7.60000","-0.08891","-21.02976"
"7.65000","-0.08953","-21.19839"
"7.70000","-0.09016","-21.27403"
"7.75000","-0.09062","-21.46484"
"7.80000","-0.09125","-21.58249"
"7.85000","-0.09188","-21.71006"
"7.90000","-0.09234","-21.90497"
"7.95000","-0.09297","-21.97766"
"8.00000","-0.09344","-22.12624"
"8.05000","-0.09406","-22.26305"
"8.10000","-0.09453","-22.30521"
"8.15000","-0.09516","-22.45456"
"8.20000","-0.09578","-22.58329"
"8.25000","-0.09625","-22.75163"
"8.30000","-0.09688","-22.86789"
"8.35000","-0.09750","-23.00105"
"8.40000","-0.09797","-23.16258"
"8.45000","-0.09859","-23.28831"
"8.50000","-0.09922","-23.40281"
"8.55000","-0.09969","-23.57486"
"8.60000","-0.10031","-23.64917"
"8.65000","-0.10094","-23.84459"
"8.70000","-0.10156","-23.99030"
"8.75000","-0.10219","-24.12295"
"8.80000","-0.10281","-24.29323"
"8.85000","-0.10328","-24.41149"
"8.90000","-0.10391","-24.56093"
"8.95000","-0.10453","-24.69817"
"9.00000","-0.10516","-24.85882"
"9.05000","-0.10563","-25.04278"
"9.10000","-0.10625","-25.12682"
"9.15000","-0.10687","-25.26320"
"9.20000","-0.10750","-25.37888"
"9.25000","-0.10813","-25.54998"
"9.30000","-0.10859","-25.71649"
"9.35000","-0.10922","-25.87607"
"9.40000","-0.10984","-25.96703"
"9.45000","-0.11031","-26.12512"
"9.50000","-0.11094","-26.21908"
"9.55000","-0.11156","-26.47046"
"9.60000","-0.11219","-26.53148"
"9.65000","-0.11281","-26.69263"
"9.70000","-0.11344","-26.83926"
"9.75000","-0.11391","-26.97173"
"9.80000","-0.11453","-27.17219"
"9.85000","-0.11516","-27.27532"
"9.90000","-0.11578","-27.43082"
"9.95000","-0.11625","-27.53928"
"10.00000","-0.11688","-27.66113"
"10.05000","-0.11750","-27.86659"
"10.10000","-0.11812","-27.94963"
"10.15000","-0.11859","-28.11278"
"10.20000","-0.11922","-28.27581"
"10.25000","-0.11984","-28.43608"
"10.30000","-0.12047","-28.57191"
"10.35000","-0.12094","-28.70353"
"10.40000","-0.12156","-28.84418"
"10.45000","-0.12219","-28.97200"
"10.50000","-0.12281","-29.07855"
"10.55000","-0.12328","-29.29104"
"10.60000","-0.12375","-29.34430"
"10.65000","-0.12438","-29.49535"
"10.70000","-0.12500","-29.61423"
"10.75000","-0.12563","-29.79274"
"10.80000","-0.12625","-29.92131"
"10.85000","-0.12672","-30.07865"
"10.90000","-0.12734","-30.20458"
"10.95000","-0.12797","-30.43457"
"11.00000","-0.12859","-30.53216"
"11.05000","-0.12906","-30.64858"
"11.10000","-0.12969","-30.76256"
"11.15000","-0.13016","-30.91680"
"11.20000","-0.13078","-31.03072"
"11.25000","-0.13125","-31.16006"
"11.30000","-0.13188","-31.24573"
"11.35000","-0.13250","-31.45745"
"11.40000","-0.13297","-31.58466"
"11.45000","-0.13359","-31.65866"
"11.50000","-0.13422","-31.83653"
"11.55000","-0.13484","-32.03770"
"11.60000","-0.13531","-32.11800"
"11.65000","-0.13594","-32.21517"
"11.70000","-0.13656","-32.44455"
"11.75000","-0.13719","-32.56890"
"11.80000","-0.13766","-32.68600"
"11.85000","-0.13828","-32.82153"
"11.90000","-0.13891","-32.99709"
"11.95000","-0.13953","-33.11191"
"12.00000","-0.14000","-33.25539"
"12.05000","-0.14063","-33.42465"
"12.10000","-0.14125","-33.52769"
"12.15000","-0.14188","-33.67787"
"12.20000","-0.14234","-33.79611"
"12.25000","-0.14297","-33.97828"
"12.30000","-0.14359","-34.08144"
"12.35000","-0.14422","-34.25537"
"12.40000","-0.14469","-34.38954"
"12.45000","-0.14531","-34.49341"
"12.50000","-0.14594","-34.68679"
"12.55000","-0.14641","-34.86197"
"12.60000","-0.14703","-34.94761"
"12.65000","-0.14766","-35.08272"
"12.70000","-0.14828","-35.20257"
"12.75000","-0.14891","-35.36816"
"12.80000","-0.14953","-35.53041"
"12.85000","-0.15000","-35.69594"
"12.90000","-0.15062","-35.82891"
"12.95000","-0.15125","-35.95839"
"13.00000","-0.15188","-36.13838"
"13.05000","-0.15250","-36.32818"
"13.10000","-0.15297","-36.37915"
"13.15000","-0.15344","-36.54442"
